"De acordo com o curso, qual é o foco principal da Segurança de Processo?","Cumprir as normas de sinalização de segurança","Proteger o trabalhador contra riscos ergonômicos","Prevenir acidentes graves com liberação de energia ou material perigoso","Garantir o uso de Equipamentos de Proteção Individual (EPIs)","c"
"Qual das alternativas abaixo é um exemplo típico de um acidente abordado pela Segurança Ocupacional?","Incêndio em um tanque de combustível de grande porte","Explosão em uma refinaria","Queda de um funcionário de uma escada","Vazamento de gás tóxico em uma planta química","c"
"Ao comparar Segurança Ocupacional e Segurança de Processo, é correto afirmar que:","Ambas lidam com os mesmos tipos de risco, apenas em escalas diferentes","A Segurança de Processo lida com eventos de alta frequência e baixa gravidade","A Segurança Ocupacional lida com eventos de baixa frequência e alta gravidade","A Segurança de Processo lida com eventos de baixa frequência e alta gravidade","d"
"Segundo o regulamento técnico do SGSO (minuta), qual prática de gestão trata da integridade de equipamentos e sistemas?","Integridade Mecânica","Identificação de Perigos e Análise de Riscos","Procedimentos Operacionais","Gestão de Mudanças","a"
"Um dos princípios da Política de SMS da Petrobras (PL-1PBR-00002) é:","A priorização da produção sobre a segurança","A redução de custos a qualquer nível","A gestão baseada em risco","Conformidade legal é opcional","c"
"A Diretriz de SMS nº 11 (Contingência) tem como objetivo:","Comunicar os riscos à comunidade","Gerenciar os riscos dos produtos no seu ciclo de vida","Prever e enfrentar situações de emergência com rapidez e eficácia","Garantir a integridade das informações de SMS","c"
"Qual é a definição de 'Perda de Contenção Primária (LOPC)' apresentada no curso?","Liberação não planejada de um produto perigoso para fora de sua contenção primária","A abertura planejada de uma válvula de alívio","Qualquer manutenção programada em um equipamento","O descarte regular de efluentes tratados","a"
"O que significa o termo 'Ponto de Fulgor' de um líquido?","A temperatura em que o líquido entra em ebulição","A menor temperatura na qual seus vapores, em contato com o ar e uma fonte de ignição, iniciam a combustão","A temperatura na qual o líquido se solidifica","A pressão máxima de vapor do líquido","b"
"Qual das seguintes substâncias é descrita como um gás incolor com odor de 'ovo podre' (que se torna inodoro em altas concentrações) e é extremamente tóxico?","Amônia (NH3)","Monóxido de carbono (CO)","Nitrogênio (N2)","Gás Sulfídrico (H2S)","d"
"Ao analisar os efeitos físicos da perda de contenção, o que é uma 'Explosão de Vapor de Líquido em Ebulição (BLEVE)'?","A liberação súbita de energia de um recipiente contendo um líquido aquecido acima do seu ponto de ebulição","Um incêndio na forma de um jato pressurizado","A combustão lenta de uma poça de líquido","A projeção violenta de líquido de um tanque devido a uma onda de calor","a"
"O que caracteriza uma 'deflagração'?","É um tipo de incêndio em poça","É a dispersão de uma nuvem de gás tóxico","É uma explosão com propagação de chama em velocidade supersônica","É uma explosão com propagação de chama em velocidade subsônica","d"
"O método semiquantitativo usado para determinar se as camadas de proteção são suficientes para reduzir o risco a um nível tolerável é conhecido como:","LOPA (Análise de Camadas de Proteção)","HAZOP (Estudo de Perigos e Operabilidade)","Análise de Árvore de Falhas","APR (Análise Preliminar de Risco)","a"
"Qual das opções abaixo é um exemplo de 'Elemento Crítico de Segurança Operacional', conforme listado na Resolução ANP nº 5/2014?","Sistema de ar condicionado","Paisagismo da refinaria","Sistema de iluminação de emergência","Bebedouros","c"
"Segundo o modelo do 'Queijo Suíço' de James Reason, os acidentes ocorrem quando:","As falhas ou aberturas nas barreiras se alinham, permitindo a passagem da energia de risco","Os funcionários não utilizam os EPIs corretamente","As barreiras de proteção são muito fortes","A gerência não cumpre as metas de produção","a"
"O princípio ALARP (As Low As Reasonably Practicable) significa que o risco deve ser reduzido:","Até um nível em que o custo da redução adicional seja extremamente desproporcional ao benefício","A qualquer custo, independentemente do valor","Até que não haja mais nenhum risco","Somente se for exigido por lei","a"
"O acidente da refinaria de Texas City (BP), em 2005, é um marco no estudo de Segurança de Processo porque:","Ilustrou como a cultura de segurança pode ser negligenciada, priorizando custos e produção, levando a uma catástrofe","Demonstrou a eficácia dos planos de emergência","Foi o primeiro acidente com plataformas marítimas","Foi um pequeno vazamento sem grandes consequências","a"
"Qual técnica de análise de riscos utiliza palavras-guia (como 'MAIS', 'MENOS', 'REVERSO') para identificar desvios de processo?","LOPA","APR","HAZOP","Checklist","c"
"O que são 'Anomalias de Segurança de Processo' conforme o PP-1PBR-00150?","Apenas os acidentes com fatalidades","Os treinamentos obrigatórios de segurança","As multas aplicadas pelos órgãos reguladores","Eventos de perda de contenção ou situações que, sob outras circunstâncias, poderiam resultar em perda de contenção","d"
"Um líquido é classificado como 'inflamável' se seu ponto de fulgor for:","Igual ou superior a 100°C","Entre 60°C e 93°C","Maior que 93°C","Igual ou inferior a 60°C","d"
"Qual dos seguintes não é um efeito físico típico da perda de contenção de substâncias inflamáveis?","Jato de Fogo (Jet Fire)","Explosão de Nuvem de Vapor Não Confinada (UVCE)","Corrosão por oxidação","Incêndio em Poça (Pool Fire)","c"
"O gás Amônia (NH3) é caracterizado por:","Ter odor de ovo podre","Ser um gás com odor pungente e sufocante, mais leve que o ar","Ser mais pesado que o ar","Ser inodoro e incolor","b"
"De acordo com a tabela de classificação de TIERs, uma liberação de material não inflamado é classificada considerando:","Apenas o número de feridos","O horário do dia em que ocorreu","A cor da fumaça","A massa vazada na 'pior hora' e a localização (aberto/fechado)","d"
"A Prática de Gestão nº 11 do SGSO (Identificação e Análise de Riscos) é diretamente relacionada a qual Diretriz Corporativa de SMS?","Diretriz 1 - Liderança e responsabilidade","Diretriz 3 - Avaliação e gestão dos riscos","Diretriz 9 - Gestão de informações","Diretriz 15 - Processo de melhoria contínua","b"
"O que são barreiras mitigadoras no modelo Bowtie?","Ações que atuam após o evento principal (perda de contenção) para reduzir suas consequências","Apenas os equipamentos de proteção individual","Ações que monitoram a pressão do sistema","Ações que previnem a causa raiz do acidente","a"
"Segundo Trevor Kletz, qual é uma das principais perdas em um acidente, além dos danos à planta e indenizações?","O tempo de produção perdido","A motivação dos funcionários","O aumento dos prêmios de seguro","A perda da reputação da empresa","d"
"A frase 'Os erros não são exclusividade de desafortunados... Eles seguem padrões recorrentes' é atribuída a:","Hugo Costa","James Reason","Sebastião Salgado","Trevor Kletz","b"
"Qual a principal função de um Sistema de Alívio de Pressão (PRD) como camada de proteção?","Proteger o equipamento contra sobrepressão, evitando sua ruptura","Prevenir a formação de mistura inflamável","Aumentar a pressão do vaso","Indicar a temperatura do processo","a"
"O estudo de HAZOP é obrigatório para cenários de risco classificados como de qual severidade para aprofundamento?","Cenários de severidade I e II","Cenários de severidade IV ou V, ou III com risco não tolerável","Apenas cenários de severidade V","Todos os cenários, independentemente da severidade","b"
"O que significa a sigla 'IPVS' (Imediatamente Perigoso à Vida e à Saúde) no contexto de toxicidade do H2S?","O limite de tolerância para 8 horas de trabalho","A concentração mínima para se sentir o cheiro","A concentração máxima da qual uma pessoa pode escapar em até 30 minutos sem sofrer danos irreversíveis","A concentração que causa irritação nos olhos","c"
"Qual é o objetivo da verificação periódica de um Elemento Crítico de Segurança Operacional?","Substituí-lo anualmente por um novo","Garantir sua funcionalidade, integridade e disponibilidade quando demandado","Avaliar o desempenho do operador que o utiliza","Apenas para cumprir requisitos burocráticos","b"
"A Diretriz de SMS nº 14 (Gestão de Produtos) abrange:","A publicidade dos produtos da companhia","Apenas a venda dos produtos","Somente o transporte dos produtos","A gestão dos riscos dos produtos desde a concepção até a destinação final","d"
"Em uma Análise Preliminar de Risco (APR), os perigos identificados devem estar associados a:","Ruído excessivo na sala de controle","Uso incorreto de ferramentas manuais","Falta de iluminação no escritório","Perda de contenção primária","d"
"O que acontece com uma atividade ou operação que apresenta um cenário de risco considerado 'não tolerável' de severidade IV ou V?","Deve-se aguardar a próxima auditoria para tomar uma decisão","Deve ser imediatamente interrompida se as medidas de contingenciamento forem insuficientes","Apenas um relatório deve ser gerado e arquivado","Pode continuar operando normalmente, sem nenhuma ação","b"
"Qual dos seguintes fatores influencia a velocidade de propagação de uma onda de choque em uma explosão?","A densidade do meio (ar, água)","A cor do equipamento","A altura da chaminé","A experiência do operador","a"
"O que é um 'Jato de Fogo' (Jet Fire)?","A combustão de um vazamento de fluido pressurizado, formando uma chama em forma de jato","A projeção violenta de líquido de um tanque","Um incêndio que queima a superfície de um líquido derramado","A explosão de uma nuvem de vapor não confinada","a"
"Na matriz de tolerabilidade de riscos, a categoria de severidade 'V' está associada a uma frequência tolerável (FTOL) de:","1x10-4 (evento/ano)","1x10-5 (evento/ano)","1x10-1 (evento/ano)","1x10-3 (evento/ano)","b"
"O que estabelece a norma N-2782 no contexto da Petrobras?","Especificações para uniformes","Critérios para categorização de riscos e realização de estudos como HAZOP e LOPA","Procedimentos para compra de materiais","Regras para férias de funcionários","b"
"Qual é o papel das 'Condições Habilitadoras' em uma análise LOPA?","São as barreiras que previnem o acidente","São condições específicas que devem estar presentes para que a causa iniciadora leve ao cenário de acidente","São as causas do acidente","São as consequências do acidente","b"
"A frase que destaca que a segurança de processo não tem uma 'linha de compliance ou performance mínima', mas sim a necessidade de 'aprimoramento contínuo' reflete a ideia de que:","Cumprir a lei é suficiente","Apenas as auditorias externas importam","Os custos de segurança devem ser sempre minimizados","O sistema deve buscar a melhoria contínua do desempenho de segurança","d"
"Qual a principal diferença entre um líquido 'combustível' e um 'inflamável'?","Combustível queima em contato com a água, inflamável não","A principal diferença é o ponto de fulgor, sendo o dos inflamáveis mais baixo","Inflamável é sempre gasoso, combustível é líquido","Não há diferença, são sinônimos","b"
"Em caso de falha, falta ou degradação de um Elemento Crítico de Segurança Operacional, o que deve ser feito?","Somente registrar a falha em um relatório","Ignorar a falha se a produção não for afetada","Reestabelecer imediatamente seu desempenho ou, excepcionalmente, implementar medidas temporárias equivalentes","Aguardar a próxima parada programada para manutenção","c"
"O que significa 'Boil Over' em um incêndio em tanques de petróleo?","A queima lenta e controlada do produto","O apagamento do fogo por falta de oxigênio","A projeção violenta do líquido devido à ebulição da água no fundo do tanque","A explosão do teto do tanque sem projeção de líquido","c"
