"Em uma bomba centrífuga, o controle automático de partida é acionado quando ocorre:","Aumento da temperatura do mancal","Queda de pressão na linha de descarga","Sobrecarga no motor elétrico","Nível baixo no reservatório de selagem","B"
"Qual das seguintes grandezas é geralmente a variável manipulada no controle de processos industriais com bombas centrífugas?","Nível","Pressão","Vazão","Temperatura","C"
"O circuito de controle automático de uma bomba centrífuga executa três ações fundamentais. Assinale a alternativa que as descreve corretamente:","Medição, controle e registro","Medição, comparação e correção","Comparação, correção e alarme","Medição, correção e desvio","B"
"Para alterar a vazão de uma bomba centrífuga, dois recursos são mencionados:","Variar a velocidade do acionador e introduzir perda de carga na descarga","Variar a velocidade e alterar o diâmetro do rotor","Introduzir perda de carga e variar o nível do reservatório","Alterar a rotação e modificar a sucção","A"
"Segundo o texto, a análise de vibração é a mais utilizada na proteção de bombas centrífugas porque detecta modos de falha como:","Desbalanceamento, desalinhamento e cavitação","Sobrecarga elétrica e falta de fase","Vazamento excessivo e desgaste de gaxeta","Alta temperatura e baixa pressão","A"
"No checklist de desmontagem e montagem, o desalinhamento é apontado como causa de cerca de 50% dos problemas de vibração. Qual tolerância máxima de desalinhamento lateral é recomendada?","0,05 mm","0,02 mm","0,01 mm","0,10 mm","C"
"Uma das recomendações para aumentar a vida útil dos mancais é operar a bomba o mais próximo possível do:","Ponto de vazão máxima","BEP (Best Efficiency Point)","Ponto de shut-off","Ponto de potência mínima","B"
"Durante a partida de uma bomba centrífuga de fluxo radial, qual deve ser a posição inicial da válvula de descarga?","Totalmente aberta","Parcialmente aberta","Totalmente fechada","Indiferente, depende do sistema","C"
"Na operação de bombas centrífugas, a temperatura dos mancais não deve exceder, geralmente:","50 °C","65 °C","80 °C","100 °C","B"
"Se o sistema de vedação for com gaxeta, o vazamento considerado aceitável durante a operação é de:","10 a 20 gotas por minuto","30 a 60 gotas por minuto","70 a 100 gotas por minuto","Nenhum vazamento é aceitável","B"
"A operação de uma bomba centrífuga com vazão reduzida (abaixo de 20% do BEP) pode provocar:","Aumento da eficiência","Redução da vibração","Aumento da temperatura do líquido por recirculação","Diminuição do empuxo axial","C"
"O teste hidrostático em bombas centrífugas, segundo critérios do API 610, tem duração mínima de:","15 minutos","30 minutos","45 minutos","60 minutos","B"
"O teste de cavitação em bombas centrífugas tem por objetivo determinar:","A pressão máxima de descarga","O NPSH requerido","A potência consumida","A eficiência volumétrica","B"
"Em um teste de desempenho, normalmente são medidos seis pontos de operação. Um desses pontos é:","Vazão de projeto e rotação variável","Shut-off (vazão nula)","Vazão máxima com cavitação","Pressão de sucção nula","B"
"A vibração filtrada na frequência de rotação, durante teste de fábrica, não deve exceder a velocidade de:","5,1 mm/s","7,6 mm/s","10,2 mm/s","15,0 mm/s","A"
"Qual das seguintes anomalias é monitorada no sistema, e não na bomba ou motor?","Temperatura alta nos mancais","Vibração mecânica","Nível de líquido baixo na fonte de suprimento","Sobrecarga no motor elétrico","C"
"O controle de parada automática é utilizado como dispositivo protetor quando variáveis atingem valores prefixados. Isso é feito para:","Aumentar a vazão","Evitar danos aos equipamentos","Reduzir o consumo de energia","Melhorar a eficiência","B"
"Uma das vantagens do controle automático em processos industriais é:","Maior intervenção humana","Menor uniformidade dos produtos","Menor custo operacional","Maior variação de grandezas","C"
"Em um circuito de controle, o elemento responsável por corrigir o desvio entre o valor medido e o desejado é:","Medidor","Controlador","Corretor (elemento final)","Indicador","C"
"A cavitação em bombas centrífugas pode ser detectada por análise de vibração e está associada a:","Baixa vazão e alta pressão","Formação e colapso de bolhas de vapor","Desgaste de rolamentos","Desalinhamento do eixo","B"
"O desbalanceamento do rotor é responsável por aproximadamente qual percentual dos problemas de vibração?","20%","30%","40%","50%","C"
"No alinhamento de bombas, o 'pé manco' deve ter desalinhamento máximo de:","0,01 mm","0,02 mm","0,05 mm","0,10 mm","B"
"Para evitar problemas de vibração por frequência natural, recomenda-se:","Instalar a bomba em fundação corretamente projetada","Aumentar a velocidade de operação","Reduzir o diâmetro do rotor","Utilizar acoplamentos lubrificados","A"
"Na partida de bombas centrífugas, a etapa de 'escorva' consiste em:","Abrir a válvula de descarga","Verificar o sentido de rotação","Garantir que a bomba esteja preenchida com líquido","Lubrificar os mancais","C"
"Em bombas de fluxo axial, a válvula de descarga deve permanecer aberta na partida porque:","A bomba não escorva com válvula fechada","A potência absorvida é muito alta com vazão nula","O motor pode inverter a rotação","A pressão de sucção é muito baixa","B"
"Durante a operação, a verificação periódica da pressão do óleo dos mancais é necessária quando:","A lubrificação é por anel","A lubrificação é forçada","Os mancais são de rolamento","A bomba é de fluxo axial","B"
"A operação com vazão excessiva (à direita do BEP) pode causar:","Redução da eficiência e aumento da potência consumida","Aumento da eficiência e redução da vibração","Redução da temperatura do líquido","Menor empuxo radial","A"
"Em bombas de carcaça dupla-voluta, o empuxo radial:","Varia muito com a vazão","É sempre nulo","Varia pouco com a redução da vazão","Aumenta linearmente com a vazão","C"
"O teste de giro mecânico em bombas tem por objetivo verificar:","A resistência da carcaça","A altura manométrica","Características como vibração e ruído","O NPSH requerido","C"
"Uma causa comum de vazão insuficiente em bombas centrífugas é:","Rotor com diâmetro maior que o especificado","Válvula de descarga totalmente aberta","Filtro de sucção parcialmente obstruído","Pressão de descarga muito baixa","C"
"O desgaste rápido dos mancais pode ser causado por:","Lubrificante em excesso","Alinhamento perfeito","Temperatura ambiente baixa","Sujeira no lubrificante","D"
"O vazamento excessivo em selos mecânicos pode ser consequência de:","Gaxeta mal ajustada","Anel 'O' da sede danificado","Falta de líquido de selagem","Baixa pressão na descarga","B"
"Quando uma bomba centrífuga apresenta consumo demasiado de energia, uma possível causa é:","Rotor parcialmente obstruído","Velocidade muito baixa","Líquido menos viscoso que o especificado","Sentido de rotação incorreto","D"
"A vibração elevada em bombas pode ser causada por cavitação. Uma ação corretiva para esse problema é:","Aumentar a rotação","Aumentar o NPSH disponível","Fechar a válvula de descarga","Reduzir a vazão","B"
"Em turbinas a vapor, a energia do vapor é convertida em energia mecânica por meio de:","Expansão em cilindros","Combustão interna","Paletas ou lâminas no rotor","Compressão do vapor","C"
"Qual das seguintes etapas faz parte da preparação para partida de uma bomba, segundo o mnemônico PARTIDA?","Promover inspeções iniciais","Parar o acionador","Abrir todos os drenos","Desligar sistemas auxiliares","A"
