"Qual é a principal função de um acionador industrial?","Armazenar energia potencial","Regular a velocidade sem contato","Transformar uma forma de energia em mecânica","Converter energia térmica em química","C"
"Em uma bomba centrífuga, qual componente é responsável por movimentar o fluido através da força centrífuga?","Anéis de desgaste","Carcaça","Rotor (impulsor)","Selos mecânicos","C"
"Qual curva característica de uma bomba centrífuga mostra a relação entre a altura manométrica e a vazão?","Curva do sistema","Curva H-Q","Curva P-Q","Curva η-Q","B"
"O que representa o BEP (Best Efficiency Point) na curva de uma bomba centrífuga?","Maior potência consumida","Máxima vazão","Maior altura manométrica","Ponto de máxima eficiência","D"
"Qual tipo de acoplamento flexível é mais adequado para aplicações que exigem alta rigidez torsional e operação em altas velocidades?","Acoplamento de disco","Acoplamento de garras","Acoplamento de corrente","Acoplamento de fluido","A"
"O rendimento na relação entre um motor elétrico e uma bomba centrífuga é definido como:","Potência elétrica x Térmica","Potência mecânica x Elétrica","Potência hidráulica x Potência mecânica","Potência nominal x Consumida","C"
"Para variar o ponto de operação de uma bomba centrífuga atuando diretamente no acionador, qual recurso é utilizado?","Alterar viscosidade","Mudar pressão de sucção","Variação da rotação do motor","Modificação do diâmetro do impulsor","C"
"Em qual aplicação os acoplamentos hidráulicos são mais indicados?","Sistemas de baixa potência","Transmissão sem deslizamento","Velocidade constante e leve","Grande massa com aceleração gradual","D"
"O método de lubrificação por salpico é comumente utilizado em:","Motores de alta velocidade","Mancais de turbinas","Compressores de grande porte","Engrenagens e transmissões fechadas","D"
"Qual a função dos selos mecânicos em uma bomba centrífuga?","Suportar o eixo","Impedir vazamentos ao longo do eixo","Proteger a carcaça","Converter energia mecânica","B"
"Na curva P-Q de uma bomba centrífuga, a potência consumida geralmente:","Diminui com a vazão","É constante","Inversamente proporcional à altura","Aumenta com o aumento da vazão","D"
"Na turbina a gás, o fluido de trabalho que aciona a turbina é:","Gases resultantes da combustão","Ar atmosférico apenas","Vapor d'água","Óleo lubrificante aquecido","A"
"Qual o efeito da utilização de um redutor de velocidade entre um motor e uma carga?","Reduz o torque","Reduz velocidade e aumenta o torque","Aumenta velocidade e torque","Mantém os parâmetros constantes","B"
"Em freios eletromagnéticos a disco, qual característica garante segurança em situações de emergência?","Atrito seco sem óleo","Freiam por mola / Desfreiam por energia","Pastilhas cerâmicas","Refrigeração a ar forçado","B"
"O método de lubrificação forçada é ideal para sistemas que exigem:","Baixo custo e manual","Intermitente por gravidade","Salpico de engrenagens","Distribuição sob pressão e alta carga","D"
"Acoplamentos fixos são utilizados quando:","Eixos como peça única (alinhamento preciso)","Compensar desalinhamentos","Absorver choques e vibrações","Atuar como fusível mecânico","A"
"A curva do sistema em uma aplicação de bombeamento representa:","Altura gerada pela bomba","Eficiência da bomba","Resistência total (perda de carga) x Vazão","Potência consumida pelo motor","C"
"Os motores de combustão interna distinguem-se dos ciclos de combustão externa porque:","Usam vapor","Combustão externa","Fonte externa de calor","Gases de combustão são o fluido de trabalho","D"
"Qual a finalidade principal de uma embreagem em um sistema de transmissão?","Acionar/parar carga com motor ligado","Reduzir a velocidade permanentemente","Aumentar o torque no eixo","Compensar desalinhamentos","A"
"Qual é uma limitação do sistema de transmissão por polias e correias?","Alto custo de instalação","Transmite muita vibração","Não aplicada para altíssimas potências","Exige lubrificação constante","C"
"Em um plano de manutenção de lubrificação, a análise periódica de contaminantes no lubrificante tem como objetivo:","Aumentar troca de óleo","Prever falhas e intervir preventivamente","Reduzir custo de sintéticos","Substituir o banho de óleo","B"
"O torque, no contexto de acionadores industriais, é definido como:","Relação potência e rotação","Força paralela ao eixo","Energia dissipada por atrito","Força perpendicular x distância ao pivô","D"
"Qual tipo de acoplamento flexível utiliza discos metálicos flexíveis e oferece boa rigidez torsional?","Boa rigidez torsional e alta velocidade","Flexibilidade por garras elásticas","Uso de correntes e graxa","Transmissão por fluido viscoso","A"
"Na curva de eficiência (η-Q) de uma bomba centrífuga, o comportamento típico é:","Máxima na vazão zero","Cresce até um máximo e depois decresce","Constante em todas as vazões","Decrescente com a vazão","B"
"Os sistemas de frenagem pneumáticos são recomendados para aplicações que necessitam:","Alto torque em espaço reduzido","Paradas suaves e torque por pressão de ar","Frenagem por imersão em óleo","Ação exclusiva de molas","B"
"Acoplamentos de corrente (chain couplings) exigem lubrificação regular e são mais adequados para:","Torque moderado e desalinhamento radial","Altíssimo torque e alta velocidade","Ambientes sem manutenção","Transmissão sem deslizamento","A"
"A lubrificação por gravidade é indicada para equipamentos que:","Alta carga contínua","Alta pressão","Movimento alternativo","Uso intermitente e carga leve","D"
"O fator de serviço em um acionador está relacionado à capacidade de:","Operar só em condição nominal","Manter eficiência constante","Lidar com sobrecargas e variáveis","Reduzir rotação em picos","C"
"O princípio de funcionamento de uma bomba centrífuga baseia-se na:","Deslocamento positivo","Aceleração por rotor e força centrífuga","Diferença de pressão por membranas","Pistões e energia hidráulica","B"
"Em um sistema que opera sob condição variável, a flexibilidade pode ser obtida atuando no acionador. Um exemplo disso é:","Variar rotação do motor","Alterar viscosidade do fluido","Mudar pressão de sucção","Trocar diâmetro do rotor","A"
