"Qual desses itens não faz parte de uma turbina a gás?","Compressor","Câmara de combustão","Turbina","Válvula de segurança","D"
"Qual dos itens abaixo está ligado com a hidrodinâmica?","Bomba centrífuga","Turbina Pelton","Conversor de torque","Válvula de retenção","C"
"Qual dos itens abaixo não é um sistema de lubrificação?","Lubrificação por salpico","Lubrificação forçada","Lubrificação por névoa","Inversão","D"
"Qual o funcionamento do governador?","Controlar a temperatura dos gases de escape","Controlar automaticamente a velocidade de rotação","Regular a pressão do óleo lubrificante","Ajustar o fluxo de ar de admissão","B"
"Qual o ciclo diesel?","Admissão, compressão, combustão, escape","Compressão, admissão, escape, combustão","Admissão, escape, compressão, combustão","Combustão, compressão, admissão, escape","A"
"Qual o ciclo da turbina a gás?","Admissão, compressão, combustão, expansão e exaustão","Admissão, combustão, compressão, escape","Compressão, admissão, combustão, escape","Expansão, admissão, compressão, exaustão","A"
"Qual das opções abaixo não é uma desvantagem do motor elétrico?","Baixo torque em baixas rotações","Custo inicial elevado","Dependência de fonte de energia elétrica","Poluição do ar","D"
"Equipamento que eleva a densidade do ar antes de entrar na admissão","Turbocompressor","Radiador","Intercooler","Filtro de ar","C"
"Como funciona o resfriamento do motor elétrico?","Ventilador para arrefecimento (Ventuinha)","Refrigeração a água","Dissipadores de calor passivos","Refrigeração por óleo","A"
"Qual o melhor componente mecânico para transmissão de torque?","Correia dentada","Acoplamento flexível","Redutor e engrenagem","Eixo cardan","C"
"O que faz o isolamento entre as câmaras da turbina a gás?","Anel de vedação","Junta de expansão","Diafragma","Selo labirinto","C"
"Sistema de controle de super rotação (segurança)","Governador","Limitador de torque","Válvula de alívio","Trip","D"
"Qual a causa de um desbalanceamento dinâmico mecânico?","Desalinhamento do acoplamento","Folga nos mancais","Rotor","Vibração ressonante","C"
