"O que melhor define Segurança de Processo?","Disciplina focada apenas no uso correto de EPIs e ergonomia","Gestão da integridade de sistemas que manipulam substâncias perigosas, prevenindo perda de contenção primária","Programa de benefícios voltado à saúde ocupacional","Conjunto de regras exclusivamente voltadas para trânsito nas instalações","B"
"Sobre Segurança Ocupacional e Segurança de Processo, assinale a alternativa correta:","Segurança de processo lida com eventos mais frequentes e menos graves","Segurança ocupacional lida com eventos menos frequentes e mais graves","Ambas tratam exclusivamente de quedas de altura","Segurança ocupacional lida com eventos mais frequentes e menos graves; segurança de processo, com eventos menos frequentes e mais graves","D"
"Qual dos eventos a seguir é tipicamente de Segurança de Processo?","Lesão por esforço repetitivo","Escorregão em escritório","Explosão seguida de incêndio por liberação de hidrocarbonetos","Atropelamento em pátio administrativo","C"
"De acordo com o conceito de substâncias perigosas, qual opção é exemplo válido?","Apenas líquidos inflamáveis com ponto de fulgor acima de 93ºC","Apenas materiais radioativos","Hidrocarbonetos, vapor d'água sob pressão, amônia ou H2S","Somente substâncias tóxicas, excluindo gases inertes","C"
"Qual alternativa expressa corretamente a diferença entre perigo e risco?","Perigo e risco são sinônimos","Perigo refere-se às propriedades intrínsecas capazes de causar dano; risco é a combinação de probabilidade e consequência","Risco é sempre zero quando há EPIs","Perigo é a combinação de probabilidade e consequência; risco são as propriedades intrínsecas do agente","B"
"O que é LOPC (Loss of Primary Containment)?","Documento de autorização de trabalho em espaço confinado","Liberação não planejada ou não controlada de produto perigoso para fora de sua contenção primária","Programa de auditoria de EPIs","Plano de manutenção centrada em confiabilidade","B"
"Qual cenário caracteriza uma LOPC?","Falta de sinalização em corredor administrativo","Treinamento incompleto de operador","Reunião de DDS não realizada","Vazamento de amônia de um vaso de pressão para a área, ainda que direcionado a bacia de contenção","D"
"O que é uma UVCE (Explosão de Nuvem de Vapor Não Confinada)?","Explosão por ruptura catastrófica de vaso aquecido sob pressão","Deflagração de poeira confinada em ciclone","Rápida combustão de uma nuvem de vapor inflamável ao ar livre, gerando sobrepressão e radiação térmica","Incêndio superficial sobre poça de líquido combustível","C"
"BLEVE está associado a:","Descarga à tocha normalmente operante","Queima estável de poça","Explosão por poeira combustível","Falha catastrófica de vaso com líquido em ebulição e expansão do vapor","D"
"O que caracteriza um incêndio em poça (pool fire)?","Explosão supersônica de gás comprimido","Combustão de jato pressurizado","Combustão sobre uma poça de líquido inflamável, com retroalimentação térmica","Deflagração em nuvem de poeira","C"
"Um jet fire é tipicamente decorrente de:","Falha em linhas/vasos pressurizados liberando jato de fluido inflamável","Vazamento laminar de líquido frio","Explosão de poeira em silo","Oxidação lenta sem chama visível","A"
"Boilover em tanques ocorre quando:","Se forma jato pressurizado direcionado a outro equipamento","Há detonação supersônica no espaço de vapor","Há falha na camada de espuma sem aquecimento","Onda de calor atinge água no fundo projetando violentamente o conteúdo","D"
"A faixa de inflamabilidade é limitada por:","Pressão de vapor e viscosidade","Limite Inferior (LII) e Limite Superior (LSI) de inflamabilidade","Ponto de fulgor e ponto de combustão","Ponto de orvalho e ponto de bolha","B"
"Ponto de fulgor é:","A temperatura ambiente de referência (25ºC)","A menor temperatura na qual os vapores, na presença de ignição, iniciam a combustão","A menor temperatura na qual há vapores suficientes para iniciar e manter a combustão","A maior temperatura suportada pelo material","B"
"Temperatura de autoignição é:","Temperatura na qual a mistura é muito pobre","Temperatura de saturação do líquido","Temperatura na qual o combustível entra em combustão sem fonte externa de ignição","Temperatura de ebulição padrão","C"
"A energia mínima de ignição de uma mistura inflamável:","Nunca é atingida em atmosferas industriais","É constante e independe do agente","Só ocorre acima de 10 kJ","Varia com o agente e condições; descargas eletrostáticas podem ser suficientes","D"
"O SGSO para refinarias é regulamentado por qual norma?","Resolução ANP nº 02/2010","Resolução ANP nº 41/2015","Resolução ANP nº 05/2014","Resolução ANP nº 06/2011","C"
"Qual é uma prática de gestão prevista no SGSO?","Compliance fiscal","Gestão de cores corporativas","Marketing e vendas","Elementos Críticos de Segurança Operacional","D"
"Qual princípio consta na Política de SMS (PL-1PBR-00002)?","Redução de quadro como princípio","Lucro acima de tudo","SMS é valor e respeito à vida","Desconsiderar transparência no desempenho","C"
"Qual das alternativas corresponde a uma diretriz de SMS?","Relatórios de vendas","Gestão de mudanças","Expansão comercial","Plano de marketing externo","B"
"No modelo de camadas, barreiras preventivas e mitigadoras têm como função, respectivamente:","Evitar o desvio/LOPC e reduzir as consequências, caso ocorram","Apenas registrar incidentes","Aumentar pressão do processo e reduzir custo","Reduzir consequências e aumentar produção","A"
"Na 'anatomia de um evento', uma resposta adequada a alarmes e procedimentos atua em qual estágio?","Apenas na fase de otimização","Como barreira preventiva entre operação normal e condição anormal","Como barreira mitigadora após o evento","Somente após parada segura","B"
"Anomalias de Segurança de Processo (ASP) incluem:","Somente incidentes com lesão","Somente auditorias internas","Apenas atrasos de reunião","Eventos de LOPC ou eventos não controlados que poderiam resultar em LOPC","D"
"O HAZOP é melhor descrito como:","Inspeção visual sem equipe multidisciplinar","Checklist não estruturado","Cálculo puramente quantitativo do risco","Técnica indutiva que usa palavras-guia para identificar desvios, causas, consequências e salvaguardas","D"
"A Análise Preliminar de Risco (APR) é uma técnica:","Somente quantitativa","Exclusiva para fase de comissionamento","Indutiva e estruturada para identificar perigos, causas, consequências e propor recomendações","Aditiva e não estruturada","C"
