"Qual é a principal função de uma máquina térmica?","Transformar energia térmica em mecânica útil","Transformar energia elétrica em mecânica","Transformar energia química em térmica","Transformar energia mecânica em térmica","A"
"O que significa a sigla PMS nos motores de combustão interna?","Ponto Máximo de Suporte","Ponto de Máxima Sincronia","Pistão em Movimento Superior","Ponto Morto Superior (ponto mais alto do pistão)","D"
"Qual componente transforma o movimento retilíneo do êmbolo em rotativo?","Árvore de comando de válvulas","Árvore de manivelas (virabrequim)","Biela","Volante do motor","B"
"Em um motor de combustão interna, onde fica depositado o óleo lubrificante?","No cabeçote","No bloco","No cárter","No radiador","C"
"Qual a principal diferença entre os ciclos Otto e Diesel?","No ciclo Otto a ignição é por faísca; no Diesel, por compressão","No ciclo Otto a ignição é por compressão; no Diesel, por faísca","No ciclo Otto a combustão é externa; no Diesel, interna","No ciclo Otto usa-se apenas diesel; no Diesel, gasolina","A"
"Qual a função do filtro de ar no sistema de admissão?","Aumentar a potência do motor","Reduzir o consumo de combustível","Resfriar o ar antes da combustão","Eliminar partículas em suspensão do ar aspirado","D"
"O que é a taxa de compressão de um motor?","A pressão máxima dentro do cilindro","A relação entre o volume do cilindro e o da câmara","A soma do volume do cilindro com a câmara","A diferença entre o volume do cilindro e da câmara","B"
"Qual a função principal do radiador no sistema de arrefecimento?","Aquecer o motor rapidamente","Aumentar a pressão do sistema","Dissipar o calor do líquido para o ambiente","Lubrificar as partes móveis","C"
"Qual componente veda a câmara, impedindo gases no cárter?","As válvulas de admissão","Os balancins","A junta do cabeçote","Os anéis de compressão","D"
"Qual é uma vantagem do motor em linha (inline)?","Baixo preço e simplicidade de construção","Alta potência específica com poucos cilindros","Baixo centro de gravidade","Extremamente compacto em comprimento","A"
"Qual é a desvantagem típica do motor em configuração 'V'?","Motor muito largo","Custo elevado","Baixa suavidade de funcionamento","Grande comprimento longitudinal","B"
"O que caracteriza um motor do tipo OHV (Over Head Valve)?","Comando no cabeçote atuando diretamente","Duplo comando de válvulas no cabeçote","Comando de válvulas no cárter","Comando no bloco acionando válvulas por hastes e balancins","D"
"Qual a função dos anéis de segmento do tipo raspador?","Raspar excesso de óleo e auxiliar na troca de calor","Controlar o filme de óleo na parede","Vedar a câmara de combustão","Impedir o escape dos gases para o coletor","A"
"Qual a finalidade da válvula termostática?","Aumentar a pressão da água","Acionar o eletroventilador","Impedir o superaquecimento da bomba","Acelerar o aquecimento e manter a temperatura ideal","D"
"Como o turbocompressor (turbo) aumenta a potência do motor?","Aumentando o curso do pistão","Injetando combustível diretamente","Comprimindo o ar de admissão para queimar mais combustível","Reduzindo a temperatura dos gases de escape","C"
"Qual a principal função do volante do motor?","Regularizar o movimento e armazenar energia cinética","Acionar o motor de partida","Equilibrar o virabrequim","Acionar a bomba de óleo","A"
"Diferença entre tucho mecânico e tucho hidráulico?","O mecânico é ajustável; o hidráulico não","O mecânico possui um êmbolo interno com óleo; o hidráulico é rígido","O mecânico é usado apenas em motores Diesel","O mecânico é rígido; o hidráulico tem êmbolo interno com óleo","D"
"O que significa o termo 'cilindrada' de um motor?","O volume total da câmara de combustão","A distância percorrida pelo pistão entre PMS e PMI","A soma dos volumes deslocados por todos os pistões","A pressão média dentro dos cilindros","C"
"Qual a função do conversor catalítico (catalisador)?","Reduzir o ruído do escape","Transformar poluentes em componentes inofensivos","Aumentar a potência do motor","Economizar combustível","B"
"No ciclo Diesel, a ignição do combustível ocorre devido:","À alta temperatura do ar comprimido (ignição por compressão)","À faísca da vela de ignição","À injeção de água no cilindro","Ao contato com o resíduo quente do pistão","A"
"Qual a diferença entre camisa seca e camisa molhada?","A camisa seca não troca calor; a molhada sim","A camisa seca tem contato com o líquido; a molhada não","A camisa seca é removível; a molhada é fixa","A camisa molhada tem contato com o líquido; a seca não","D"
"Qual a função dos balancins no mecanismo de válvulas?","Acionar diretamente os tuchos","Transferir movimento do came para a válvula (invertendo a direção)","Lubrificar a haste da válvula","Fixar a mola da válvula","B"
"Qual a principal desvantagem do motor radial?","Custo elevadíssimo e grande área frontal","Alta vibração","Comprimento excessivo","Baixa confiabilidade","A"
"Para motor 4 cil, diâm. 85,5mm e curso 69,0mm, a cilindrada aproximada é:","1000 cm³","1200 cm³","1800 cm³","1580 cm³","D"
"Qual a função da folga de lubrificação em bronzinas?","Permitir a expansão térmica do eixo","Reduzir o peso do conjunto","Criar um colchão de óleo entre as superfícies","Facilitar a montagem e desmontagem","C"
"Por que usar aditivos à base de etileno glicol?","Aumentar ponto de ebulição e proteção anticorrosiva","Reduzir o ponto de congelamento e aumentar viscosidade","Lubrificar a bomba d'água","Tingir o líquido para detectar vazamentos","A"
"Ordem de ignição comum para motor 4 cilindros em linha:","1-2-3-4","1-4-2-3","1-3-2-4","1-3-4-2 ou 1-2-4-3","D"
"Qual a função do intercooler em motores turbo?","Aumentar a pressão do turbo","Filtrar o ar de admissão","Reduzir a temperatura do ar comprimido","Lubrificar o eixo do turbo","C"
"Componente responsável por manter o óleo em circulação forçada:","O filtro de óleo","A bomba de óleo","A válvula reguladora de pressão","O cárter","B"
"Principal limitação do motor em linha para alta potência?","Dificuldade de escala sem excesso de peso/tamanho","Alta vibração inerente","Custo de produção elevado","Baixa eficiência de combustível","A"
