"O principal objetivo do padrão PE-2REF-00123 é:","Definir os critérios de criticidade e código ABC para os equipamentos dinâmicos do refino","Estabelecer critérios e requisitos mínimos para análise de falhas de equipamentos dinâmicos e orientar o correto registro das informações no SAP","Estabelecer os planos de manutenção preventiva para equipamentos dinâmicos instalados em áreas industriais","Regular o processo de compras e gestão de sobressalentes para equipamentos dinâmicos","B"
"O indicador TMEI é utilizado para medir:","O tempo médio entre intervenções realizadas em equipamentos para correção de falha ou defeito","O tempo médio gasto no reparo de um equipamento após a ocorrência de uma falha","O custo médio de manutenção por equipamento ao longo de um período determinado","O percentual de retrabalhos realizados em equipamentos dinâmicos em um dado período","A"
"Um equipamento é classificado como 'resserviço' quando:","Apresenta falha recorrente por três vezes consecutivas no mesmo ano calendário","Possui TMEI inferior a 12 meses e está localizado em área classificada como crítica","Foi substituído por equipamento reserva e aguarda manutenção programada em oficina","Sofreu intervenção para correção de falha ou defeito há menos de três meses","D"
"O campo 'modo de falha' no SAP representa:","O efeito observado no evento de falha, relacionado à causa imediata do evento","O processo físico ou químico que deu origem à ocorrência no equipamento","A causa raiz identificada após análise completa e multidisciplinar da ocorrência","O componente do equipamento impactado pelo mecanismo que originou a ocorrência","A"
"A metodologia '5 Porquês' (5W) consiste em:","Analisar cinco possíveis causas simultâneas para uma mesma falha observada em campo","Elaborar um diagrama com compensação de cinco níveis hierárquicos","Realizar uma sequência de perguntas sobre a causa do problema até identificar a causa básica","Executar cinco inspeções consecutivas no equipamento após cada intervenção corretiva","C"
"Para os equipamentos das classes padronizadas no padrão, o campo 'modo de falha' deve ser cadastrado:","Na fase de criação da nota de manutenção","Somente após a conclusão dos serviços e antes do encerramento da nota ZF","Após a emissão da ordem de manutenção e início efetivo dos serviços de campo","Simultaneamente ao registro da causa básica, ao final da análise de falha concluída","A"
"O mecanismo de falha refere-se a:","A classificação hierárquica da falha conforme seu impacto no processo produtivo","O componente físico do equipamento que apresentou defeito ou falha observável","O processo físico ou químico que originou a ocorrência no equipamento","O conjunto de ações corretivas definidas para evitar a repetição da falha no futuro","C"
"A Análise de Falha Completa deve ser realizada preferencialmente por:","O técnico de manutenção responsável pela última intervenção no equipamento","O inspetor de equipamentos com apoio direto do engenheiro de confiabilidade","Uma equipe multidisciplinar envolvendo manutenção, inspeção, engenharia, operação e otimização, onde aplicável","O Grupo Técnico da UO com participação exclusiva da área de manutenção","C"
"O código SAP 'DMAN' refere-se à causa básica denominada:","Deficiência de Manutenção/Teste/Ajuste","Degradação Funcional por Envelhecimento ou Desgaste","Defeito de Matéria Prima utilizada durante a intervenção de manutenção","Dados não identificados que impedem a classificação correta da causa básica","A"
"O campo 'Cond. Inst Após Medida' deve ser preenchido com o valor 3 quando:","O equipamento retornou à operação e está novamente disponível após a intervenção","O equipamento está parcialmente disponível aguardando conclusão dos serviços de manutenção","O equipamento foi indisponibilizado para início da intervenção corretiva planejada","A intervenção foi concluída mas o equipamento ainda aguarda teste formal de partida","A"
"O código de status SAP 'ANEX' indica:","Que a análise de falha foi aprovada pelo supervisor técnico responsável da área","A existência de documentos anexos na nota de manutenção no módulo PM","Que a nota de manutenção está pendente de encerramento formal no sistema","Que o equipamento está em estado de indisponibilidade programada para manutenção","B"
"A causa básica de código FPRJ está associada a:","Falhas ocorridas durante a execução dos serviços de manutenção em campo","Utilização de material inadequado durante o processo de fabricação do equipamento","Erro de projeto do equipamento ou da planta de processo/utilidades","Operação do equipamento em desacordo com os procedimentos operacionais vigentes","C"
"Uma bomba centrífuga com TMEI de 28 meses sofre uma falha que não causa parada ou redução de carga, e a última nota ZF foi encerrada há 4 meses. Qual análise deve ser realizada?","Análise de falha completa, pois o TMEI é inferior a 36 meses","Análise facultativa, pois nenhum dos critérios obrigatórios de análise completa foi atendido","Análise de falha simplificada, pois não houve perda de carga e o TMEI está dentro do limite","Nenhuma análise é necessária, pois a última intervenção ocorreu há mais de 3 meses","A"
"Para um equipamento com Código ABC 'B' que não se enquadra nos critérios do item 3.1.1, a realização da análise de falha é:","Obrigatória, utilizando metodologia simplificada de análise pela equipe técnica","Obrigatória, utilizando metodologia completa com equipe multidisciplinar conforme padrão","Opcional, ficando a critério do Grupo Técnico da UO sua realização","Dispensada, pois equipamentos 'B' são de baixa criticidade e não requerem análise formal","C"
"Qual a diferença fundamental entre 'parte afetada' e 'partes substituídas' em uma intervenção?","Parte afetada refere-se a componentes novos instalados e partes substituídas são os componentes removidos","Parte afetada é o componente impactado pelo mecanismo de falha que originou a ocorrência; partes substituídas incluem todos os componentes trocados durante a intervenção","Parte afetada é registrada antes dos serviços e partes substituídas são registradas após o encerramento","Parte afetada inclui todos os componentes danificados e partes substituídas são apenas os itens de maior custo unitário","B"
"Em uma intervenção para correção de defeito (tipo 5), qual é o preenchimento correto do campo 'Cond. Inst Após Avaria' no momento da abertura da nota?","Deve ser preenchido diretamente com o valor 1 (indisponível) desde a abertura da nota","Não deve ser preenchido na abertura, sendo cadastrado somente no início efetivo dos serviços","Deve ser preenchido inicialmente com o valor 2 (parcialmente disponível)","Deve ser preenchido com o valor 3 (disponível) e alterado para 1 quando a intervenção iniciar","C"
"O registro da 'Parte Afetada' deve ocorrer em qual momento do processo de manutenção?","Após a conclusão dos serviços e antes do encerramento da nota, quando a análise de falha deve estar concluída","No momento da abertura da nota, simultaneamente ao registro do modo de falha pelo executante","Durante a execução dos serviços, à medida que os componentes danificados são identificados","Após o encerramento da nota, no relatório de análise de falha entregue ao setor técnico","A"
"O cadastro de uma segunda parte afetada em uma nota ZF está condicionado a:","A falha ter causado parada ou redução de carga de unidade de processo produtivo","O equipamento ser classificado com Código ABC 'A' e possuir TMEI inferior a 36 meses","A identificação de uma segunda causa básica e mecanismo de falha evidenciados na análise","A autorização do Grupo Técnico da UO após revisão e aprovação da análise de falha completa","C"
"Os mecanismos de falha em equipamentos dinâmicos estão subdivididos em quais categorias principais?","Falhas Mecânicas, Falhas de Materiais e Influência Externa","Falhas Operacionais, Falhas Estruturais e Falhas por Desgaste Natural do equipamento","Falhas por Projeto, Falhas por Fabricação e Falhas por Manutenção inadequada","Falhas Funcionais, Falhas Potenciais e Falhas Ocultas conforme critérios da norma","A"
"O código DEGR de causa básica é utilizado para situações onde:","O equipamento não consegue mais exercer a função requerida devido a envelhecimento ou obsolescência","Houve falha no processo de planejamento ou execução dos serviços de manutenção","O equipamento foi operado em desacordo com os procedimentos operacionais vigentes","A falha foi induzida pela operação inadequada ou ineficiência de outro equipamento","A"
"O código NEXE de causa básica está associado a:","Não execução de um serviço por motivos operacionais ou de gestão da intervenção","Falha do equipamento causada por condições de serviço ou ambiente desfavoráveis","Defeito de matéria prima utilizada durante a intervenção de manutenção executada","Erro de montagem ocorrido durante obra de revamp ou modificação de planta existente","A"
"Qual indicador de confiabilidade mede especificamente o tempo gasto para reparar um equipamento após uma falha?","TMEI - Tempo Médio Entre Intervenções para equipamentos dinâmicos","IRSV - Índice de Resserviços realizados no período avaliado","TMPR - Tempo Médio Para Reparo de Equipamentos","TMEIG - Tempo Médio Entre Intervenções Gerencial","C"
"Numa análise utilizando Árvore de Falhas, em qual nível da árvore é identificada a 'parte afetada'?","Primeiro nível, correspondente ao evento topo que representa o modo de falha observado","Terceiro nível, correspondente à parte afetada diretamente pelo mecanismo de falha","Segundo nível, correspondente às causas imediatas e falhas identificadas nos subsistemas","Último nível da árvore, que corresponde à causa básica raiz da ocorrência analisada","B"
"O campo 'Parte objeto' no SAP/PM corresponde ao registro de qual informação da análise de falha?","Mecanismo da falha, inserido na aba 'Dados de Falha' da nota de manutenção no SAP","Modo de falha, que descreve o efeito observado no evento de falha do equipamento","Parte afetada, que representa o componente impactado pelo mecanismo de falha","Causa básica, que orienta as ações para evitar repetição da ocorrência no futuro","C"
"O campo 'Mec. Dano' no SAP/PM é utilizado para registrar:","O mecanismo da falha, que representa o processo físico ou químico que originou a ocorrência","O modo de falha, que é o efeito observado no equipamento ou componente que falhou","A causa básica da falha, relacionada à fase do ciclo de vida do ativo analisado","A parte afetada pelo processo de degradação que gerou a ocorrência no equipamento","A"
"A causa básica EMTI está vinculada a falhas ocorridas em qual fase do ciclo de vida do ativo?","Fabricação, associada ao uso de material inadequado durante o processo produtivo","Instalação, associada a problemas durante a montagem de novas unidades ou revamps e modificações","Operação/Manutenção, por falha no processo de execução dos serviços de manutenção","Projeto, por inadequação do dimensionamento ou especificação do equipamento ao serviço","B"
"Para uma bomba centrífuga com ocorrência classificada como 'relevante', o material gerado na análise de falha deve ser armazenado:","Arquivado no sistema de gestão documental da gerência de manutenção industrial","Anexado à nota ZF com os status de usuário ANEX e ATSR devidamente marcados","Incluído no relatório de análise do RTA (Registro de Tratamento de Anomalia)","Inserido como anexo opcional à nota ZF, sem necessidade de marcação de status","B"
"A duração da parada de um equipamento é calculada pela diferença entre:","A data de emissão da ordem de manutenção e a data de encerramento formal dos serviços","A data de abertura da nota ZF e a data de emissão do relatório de análise de falha","A data de início da intervenção física e a data de liberação do equipamento para operação","A data/hora de início e fim da avaria registradas nos campos correspondentes da nota ZF","D"
"Quais são as fases do ciclo de vida do ativo consideradas na classificação das causas básicas de falha?","Projeto, Fabricação, Instalação/Montagem e Operação/Manutenção","Concepção, Aquisição, Comissionamento e Operação continuada","Projeto, Construção, Operação e Descomissionamento do ativo","Engenharia, Fornecimento, Montagem e Manutenção ao longo da vida útil","A"
"Qual das afirmações abaixo melhor descreve a finalidade da padronização dos campos de modo de falha, parte afetada, mecanismo de falha e causa básica?","Facilitar o preenchimento das notas de manutenção pelos técnicos de campo","Atender requisitos regulatórios de agências de controle ambiental e segurança industrial","Permitir análises estatísticas de confiabilidade que evidenciem causas individuais ou sistêmicas e orientem ações corretivas","Reduzir o tempo de encerramento das notas ZF e melhorar os indicadores operacionais do SAP","C"
"Para compressores centrífugos com ocorrências classificadas como 'relevantes', o armazenamento do material de análise deve seguir qual critério?","Deve ser arquivado exclusivamente no sistema de gestão documental corporativo da empresa","Deve ser incluído no relatório de análise do RTA, assim como as demais classes com ocorrências relevantes","Deve ser anexado obrigatoriamente à nota ZF com os status ANEX e ATSR devidamente marcados","É opcional, sendo inserido como anexo à nota ZF apenas mediante solicitação formal da supervisão","C"
"O status ATSR nas notas ZF indica que:","O documento foi arquivado no sistema de gestão documental corporativo da organização","A nota de manutenção está aguardando aprovação técnica para encerramento definitivo","O equipamento foi inspecionado e está disponível para retorno imediato à operação","A análise de falha (completa ou simplificada) consta entre os anexos da nota de manutenção","D"
"Considerando o exemplo da Bomba Centrífuga B-XXXX com quebra de eixo e TMEI de 24 meses, quais códigos SAP foram corretamente identificados na análise realizada?","Modo de Falha: BRD / Parte Afetada: EIXO / Mecanismo da Falha: TB / Causa Básica: DMAN","Modo de Falha: TB / Parte Afetada: EIXO / Mecanismo da Falha: BRD / Causa Básica: DMAN","Modo de Falha: BRD / Parte Afetada: MANC / Mecanismo da Falha: TC / Causa Básica: DMAN","Modo de Falha: EIXO / Parte Afetada: BRD / Mecanismo da Falha: DMAN / Causa Básica: TB","A"
"No exemplo da Bomba B-YYYY analisada pelo método 5W, qual sequência de respostas levou corretamente à identificação da causa básica DMAN?","A bomba parou → rolamento aqueceu → falta de lubrificação → copo repositor com defeito de fabricação → material inadequado aplicado","A bomba parou → vibração excessiva → desalinhamento de eixo → erro de montagem → falha no planejamento da manutenção","A bomba parou → fusão do mancal → rolamento superaqueceu → deficiência na lubrificação → copo repositor não instalado corretamente → executante não seguiu o procedimento de montagem","A bomba parou → superaquecimento do eixo → fratura por fadiga → corrosão elevada → condições de serviço desfavoráveis no processo","C"
"Qual é a diferença no procedimento de registro do campo 'Cond. Inst Após Avaria' entre uma intervenção para correção de falha (tipo 6) e uma para correção de defeito (tipo 5)?","Na correção de falha, o campo inicia com valor 2 e é alterado para 1 no início da intervenção; na correção de defeito, é preenchido diretamente com valor 1","Na correção de falha, o campo é preenchido com valor 1 (indisponível) quando o equipamento é indisponibilizado; na correção de defeito, inicia com valor 2 e é alterado para 1 no início da intervenção efetiva","Na correção de falha, o campo não precisa ser preenchido na abertura; na correção de defeito, deve ser preenchido com valor 1 imediatamente na abertura","Não há diferença entre os dois tipos; ambos iniciam com valor 2 e são alterados para 1 quando o equipamento é efetivamente retirado de operação","B"
