"Qual é a função principal de uma turbina a vapor?","Converter energia elétrica em energia mecânica","Converter energia térmica do vapor em energia cinética e depois em energia mecânica de rotação","Converter energia química do combustível em energia elétrica","Converter energia mecânica em energia térmica para aquecimento","B"
"De acordo com o princípio de operação, as turbinas a vapor são classificadas em:","Impulso e Reação","Fluxo axial e Fluxo radial","Alta pressão e Baixa pressão","Condensação e Contra pressão","A"
"Na turbina de impulso, a conversão de energia ocorre principalmente:","Nas pás móveis durante a expansão do vapor","Nas pás estacionárias antes do vapor atingir as pás móveis","No eixo da turbina por atrito","No condensador após a exaustão","B"
"Qual tipo de turbina a vapor é mais comum em aplicações que exigem operação suave e contínua, como as turbinas de Parsons?","Turbina de impulso","Turbina de fluxo radial","Turbina de reação","Turbina de condensação","C"
"O ciclo termodinâmico que descreve a conversão de calor em trabalho nas turbinas a vapor é o:","Ciclo Brayton","Ciclo Otto","Ciclo Diesel","Ciclo Rankine","D"
"Em uma turbina a vapor de condensação simples, a pressão de exaustão é:","Maior que a pressão atmosférica","Igual à pressão atmosférica","Menor que a pressão atmosférica","Variável conforme a carga","C"
"Qual dos seguintes componentes é responsável por impedir o vazamento de vapor ao longo do eixo da turbina?","Diafragma","Selos de eixo","Carcaça","Palhetas fixas","B"
"O sistema de rotação lenta (turning gear) em uma turbina a vapor tem como objetivo principal:","Aumentar a velocidade da turbina em partida","Gerar energia elétrica durante a parada","Girar lentamente o eixo quando fora de operação para evitar deformações","Lubrificar automaticamente os mancais","C"
"Qual dos seguintes não é um tipo de selagem de vapor utilizado em turbinas?","Anéis de Carvão","Anéis Labirinto","Selos Hidráulicos","Lâminas","C"
"Em relação à carcaça das turbinas a vapor, a construção bi-partida horizontalmente tem como principal vantagem:","Reduzir o custo de fabricação","Facilitar a manutenção","Melhorar a eficiência térmica","Permitir maior pressão de vapor","B"
"O dispositivo de emergência por sobrevelocidade em uma turbina a vapor tem a função de:","Controlar a velocidade em regime permanente","Proteger a turbina contra danos por rotação excessiva","Regular a pressão de admissão de vapor","Monitorar a temperatura dos mancais","B"
"Qual tipo de mancal é responsável por manter o rotor posicionado em relação às peças estacionárias, suportando a força axial?","Mancal radial de deslizamento","Mancal axial (de escora)","Mancal de rolamento esférico","Mancal de anel pescador","B"
"Nos reguladores de velocidade do tipo mecânico/hidráulico, o elemento sensor de velocidade é composto por:","Palhetas fixas e móveis","Diafragma e mola","Pesos dispostos a 180º com mola","Válvula sentinela","C"
"Qual dos seguintes não é um fator que influencia diretamente a eficiência de uma turbina a vapor?","Temperatura e pressão do vapor","Número de estágios","Cor da carcaça da turbina","Reaquecimento entre estágios","C"
"As turbinas a vapor de contra pressão são caracterizadas por:","Exaurir o vapor a uma pressão menor que a atmosférica","Exaurir o vapor a uma pressão maior ou igual à atmosférica","Utilizar apenas estágios de reação","Não possuir sistema de lubrificação","B"
"O componente fixado à carcaça responsável pela admissão de vapor na turbina é chamado de:","Câmara de vapor","Válvula de emergência","Válvula de regulagem","Expansor convergente-divergente","A"
"Qual dos seguintes materiais ou formatos não é tipicamente utilizado na raiz das palhetas de turbinas a vapor?","Forma de T","Forma de Pinheiro","Forma de Pinheiro Invertido Axial","Forma de esfera cônica","D"
"Nos mancais radiais de deslizamento, a fonte de calor NÃO inclui:","Atrito entre partes móveis","Condução de calor do eixo pela carcaça","Vazamento de vapor pelas selagens","Resfriamento do óleo lubrificante","D"
"O sistema de condensação em turbinas a vapor opera tipicamente com vácuo na descarga na faixa de:","0,5 a 1 pol Hg","2 a 4 pol Hg","10 a 15 pol Hg","20 a 25 pol Hg","B"
"Qual dos seguintes tipos de acoplamento é geralmente utilizado em turbinas a vapor devido à dilatação térmica e movimento axial?","Acoplamento rígido","Acoplamento flexível","Acoplamento magnético","Acoplamento hidráulico","B"
"A válvula sentinela em uma turbina a vapor tem como principal função:","Controlar a velocidade da turbina","Indicar ou aliviar pressão excessiva na carcaça","Lubrificar os mancais","Acionar o turning gear","B"
"Em turbinas de múltiplos estágios, o reaquecimento do vapor entre estágios é utilizado para:","Reduzir a temperatura do rotor","Aumentar a eficiência do ciclo térmico","Diminuir a pressão de exaustão","Eliminar a necessidade de condensador","B"
"Os diafragmas em turbinas a vapor são componentes estacionários que:","Suportam os mancais axiais","Direcionam o fluxo de vapor entre os estágios","Acionam o dispositivo de sobrevelocidade","Lubrificam as palhetas móveis","B"
"Qual dos seguintes tipos de regulador de velocidade é atualmente o mais aplicado devido à simplicidade de instalação e precisão?","Mecânico","Mecânico-hidráulico","Eletrônico","Pneumático","C"
"A eficiência termodinâmica típica de uma turbina a vapor moderna em usina termelétrica situa-se na faixa de:","10% a 20%","30% a 40%","50% a 60%","70% a 80%","B"
"Em turbinas a vapor, a lubrificação por anel pescador é um tipo de sistema:","Forçado","Por aspersão","Por anel rotativo que arrasta óleo do reservatório","Por graxa consistente","C"
"O dispositivo de emergência por sobrevelocidade pode ser acionado também por outras causas, EXCETO:","Baixa pressão de óleo","Alta temperatura nos mancais","Alta vibração","Alta pressão de vapor na admissão","D"
"Qual a principal desvantagem dos anéis de carvão utilizados na selagem de vapor em comparação aos labirintos?","Menor eficiência de vedação","Limitação pela velocidade superficial e desgaste mais frequente","Maior custo de fabricação","Impossibilidade de desmontagem","B"
"Nas turbinas a vapor de fluxo radial, a direção do escoamento do vapor em relação ao eixo é:","Paralela ao eixo","Perpendicular ao eixo","Circunferencial ao redor do eixo","Axial com rotação oposta","B"
"O componente chamado de 'expansor convergente-divergente' em uma turbina a vapor tem a função de:","Reduzir a pressão do vapor sem ganho de velocidade","Converter energia cinética em calor","Aumentar a velocidade do vapor com queda de pressão","Lubrificar as palhetas","C"
