"Qual é o ciclo termodinâmico básico de uma turbina a gás?","Ciclo Brayton","Ciclo Rankine","Ciclo Otto","Ciclo Diesel","A"
"Qual a principal função do compressor em uma turbina a gás?","Aumentar a temperatura sem alterar a pressão","Comprimir o combustível antes da injeção","Reduzir a vazão de ar para a combustão","Aumentar a pressão do ar","D"
"Qual componente é responsável pela ignição da mistura ar-combustível na partida?","Válvula dosadora","Injetor de combustível","Vela de ignição (ignitor)","Câmara de combustão","C"
"Por que o compressor axial é preferencialmente utilizado em turbinas de grande porte?","Menor custo de fabricação","Maior capacidade de vazão para o mesmo tamanho","Maior resistência a altas temperaturas","Maior relação de compressão por estágio","B"
"Qual a finalidade das palhetas guias de entrada variáveis (VIGV) em um compressor axial?","Aumentar a pressão do ar na saída","Controlar a vazão de combustível","Reduzir a temperatura na admissão","Manter o fluxo estabilizado e evitar surge","D"
"Qual porcentagem do ar comprimido é destinada à combustão (ar primário)?","25%","10%","50%","75%","A"
"Qual é a principal função do ar secundário (cerca de 75% do total)?","Participar da reação de combustão","Resfriar componentes internos e paredes da câmara","Acionar a turbina de potência","Selar os mancais contra vazamento","B"
"Como é denominado o fenômeno de reversão do fluxo de ar no compressor?","Flameout","Stonewall","Surge","Compressão em bomba","C"
"Na configuração de eixo duplo, a turbina livre (Turbina de Potência) serve para:","Acionar o compressor de ar","Gerar gases de escape","Acionar o ventilador de admissão","Acionar a carga (gerador, bomba ou compressor)","D"
"Qual sensor monitora a temperatura dos gases entre a turbina GG e a PT (T4/T5)?","Termorresistência (RTD)","Termopar","Sensor de deslocamento","Transmissor de pressão","B"
"Qual a finalidade das válvulas de sangria (bleed valves) no compressor axial?","Aumentar a eficiência térmica","Reduzir a temperatura do ar","Evitar o surge durante partida e aceleração","Controlar a injeção de combustível","C"
"Qual é a função do sistema de ar de selagem dos mancais?","Lubrificar os rolamentos","Resfriar o óleo lubrificante","Filtrar partículas finas","Pressurizar selos labirinto para evitar vazamento de óleo","D"
"Qual tipo de mancal é mais aplicado em geradores de gás aeroderivados?","Mancal de rolamento (ball bearing)","Mancal de deslizamento (tilting pad)","Mancal de fole","Mancal hidrostático","A"
"Como se forma o NOx térmico no processo de combustão?","Reação do nitrogênio do combustível","Reação do nitrogênio do ar com O2 acima de 1370°C","Reação do nitrogênio com radicais orgânicos","Reação do carbono com oxigênio","B"
"O que ocorre imediatamente após a pré-lubrificação na sequência de partida?","Purga do sistema e acionamento dos ignitores","Acionamento da bomba principal de óleo","Aceleração até a rotação de idle","Desligamento do sistema de partida","A"
"Como é denominada a etapa de aquecimento antes da aplicação de carga?","Start","Pre-lub","Idle / warm-up","Cool-down","C"
"O conjunto Gerador de Gás (GG) é composto por quais seções principais?","Filtro de ar, ventilador e coletor","Admissão, compressor axial, combustão e turbina GG","Compressor centrífugo e turbina livre","Bomba de óleo e caixa de acessórios","B"
"Qual é a faixa típica de relação de compressão por estágio em um compressor axial?","1,01:1 a 1,05:1","5:1 a 10:1","2:1 a 3:1","1,1:1 a 1,4:1","D"
"Qual a função do difusor de descarga localizado após o compressor?","Reduzir a velocidade do ar e aumentar a pressão estática","Direcionar o ar comprimido para o escape","Aumentar a temperatura do ar","Filtrar impurezas residuais","A"
"Por que a monitoração da temperatura T4/T5 é crítica?","Para controlar a rotação da PT","Para evitar congelamento de filtros","Porque limita a vida útil e atua na proteção","Para ajustar a abertura das VIGVs","C"
"Qual a função da bomba de emergência (motor CC) no circuito de óleo?","Fornecer óleo em operação nominal","Acionar o sistema de filtragem","Pressurizar o combustível","Garantir lubrificação em falhas ou paradas","D"
"Qual é o fluido motriz que aciona a roda da turbina?","Ar atmosférico puro","Gases de combustão em alta temperatura e pressão","Óleo lubrificante aquecido","Vapor d'água superaquecido","B"
"O que estabiliza a chama na câmara, impedindo contato com as paredes?","Distribuição controlada do ar de resfriamento","Bico injetor de altíssima pressão","Palhetas direcionadoras fixas","Válvula de alívio de pressão","A"
"Qual é a faixa típica de eficiência isoentrópica de um compressor axial?","60 a 70%","75 a 80%","85 a 90%","95 a 98%","C"
"Qual a diferença entre a turbina GG e a turbina de potência (PT)?","Ambas acionam o mesmo eixo rígido","A turbina GG aciona a carga externa","A turbina GG opera apenas em baixa pressão","A GG aciona o compressor; a PT aciona a carga","D"
"Qual a função da válvula dosadora de combustível?","Regular a vazão de combustível conforme o controlador","Interromper o fluxo em emergência","Misturar ar ao combustível","Aquecer o fluido para atomização","A"
"Qual a sequência correta das etapas do ciclo Brayton?","Compressão, admissão, combustão, expansão","Admissão, compressão, combustão, expansão","Admissão, expansão, compressão, combustão","Combustão, compressão, expansão, admissão","B"
"Qual a finalidade do filtro coalescedor no sistema de admissão?","Reter apenas insetos e folhas","Aquecer o ar na admissão","Extrair névoa e gotículas de água","Realizar a filtragem final de poeira fina","C"
"Por que as bleed valves ficam abertas durante a partida?","Para evitar surge em baixas rotações","Para acelerar o aquecimento","Para lubrificar o compressor","Para reduzir o consumo inicial","A"
"Qual tipo de óleo é tipicamente utilizado em geradores aeroderivados?","Óleo mineral puro","Óleo sintético","Óleo vegetal aditivado","Óleo diesel marítimo","B"
