"Em uma unidade de FCC, a válvula de controle de temperatura do reator normalmente ajusta:","A quantidade de água de resfriamento enviada ao regenerador","A relação ar/combustível na fornalha do craqueador","A taxa de circulação de catalisador entre regenerador e reator","A velocidade de rotação do compressor de ar principal","C"
"Em válvulas de controle de temperatura, o sensor que alimenta o controlador geralmente mede:","Diferença de nível entre duas colunas","Velocidade de variação de pressão","Temperatura do processo no ponto de interesse","Tensão elétrica aplicada ao atuador","C"
"Em uma válvula de controle de temperatura, o atuador abre ou fecha a válvula com base:","Apenas no valor manual configurado pelo operador","No sinal elétrico recebido do controlador de temperatura","No torque mecânico gerado pelo fluido","Na pressão de sucção do compressor","B"
"O controle de pressão diferencial entre o regenerador e o reator no FCC é fundamental para:","Evitar que o catalisador usado retorne ao regenerador","Garantir fluxo adequado de catalisador através do standpipe","Reduzir a necessidade de ar de combustão","Aumentar a octanagem do produto final","B"
"Em válvulas de controle de nível e de controle de temperatura do tipo ""fail-close"", a posição de falha garante que:","O vaso nunca transborde","A válvula feche automaticamente caso haja perda de sinal ou comando de trip da unidade de UFCC","A válvula fique estática até retorno da energia","O nível se estabilize por gravidade","B"
"A válvula de bloqueio (shutoff) presente na linha do turboexpansor serve para:","Lubrificar o eixo do turboexpansor","Isolar completamente o equipamento em caso de comando de TRIP","Controlar a temperatura de alimentação do regenerador","Reduzir a formação de CO","B"
"Em um sistema de controle moderno, a válvula de bypass do turboexpansor entra em ação automática quando:","A pressão no reator diminui","A diferença de temperatura entre reator e regenerador aumenta","É detectada tendência de overspeed no turboexpansor","O catalisador fica mais fino","C"
"Qual é a principal função da válvula de fundo em um reator de coqueamento retardado?","Controlar o fluxo de vapor para o reator","Medir a pressão do reator durante o ciclo","Selar e isolar o fundo do reator para permitir o enchimento do reator","Reduzir a temperatura do coque formado","C"
"As válvulas de fundo e de topo utilizadas no coqueamento retardado geralmente possuem qual característica fundamental?","Anéis de vedação de borracha para alta flexibilidade","Vedação soft-seat para reduzir riscos de erosão","Projeto de vedação metal-metal para suportar extremos térmicos","Acionamento exclusivamente manual por manivela","C"
"As válvulas de fundo e de topo dos reatores de coque são válvulas especialmente projetadas porque operam sob:","Baixa pressão e baixa temperatura","Alta abrasão, alta temperatura e ciclos térmicos severos","Somente fluidos limpos e frios","Condições de vácuo contínuo","B"
"A falha de vedação da Válvula de Fundo do Reator (BDV) pode causar:","Redução da taxa de produção de gases leves","Aumento da eficiência térmica do forno","Arraste de coque quente para áreas não protegidas","Redução da temperatura de operação do reator","C"
