"Qual esforço tende a alongar um elemento na direção axial?","Compressão","Cisalhamento","Tração","Flexão","c"
"Que elemento de fixação usa entalhes para criar atrito em furos broqueados?","Rebite","Cavilha","Parafuso","Porca","b"
"Qual rosca tem perfil trapezoidal e é usada em fusos de máquinas?","Métrica","Whitworth","Unificada","Trapezoidal","d"
"Que tipo de rolamento suporta cargas radiais e pequenas axiais?","Rolamento rígido de esferas","Rolamento de rolos cônicos","Rolamento axial","Rolamento de agulhas","a"
"Qual elemento evita deslocamento axial de peças em eixos?","Chaveta","Anel elástico","Pino","Cavilha","b"
"O que significa 'UNC' em roscas?","Unified National Coarse","Universal Normal Coarse","United National Course","Uniform National Core","a"
"Qual rolamento compensa desalinhamentos com pista esférica externa?","Rígido de esferas","Autocompensador de esferas","De rolos cônicos","Axial","b"
"Que tipo de acoplamento usa borracha para absorver impactos?","Rígido","Flexível","Magnético","Oldham","b"
"Qual elemento de vedação dinâmica tem lábio e molas?","O'ring","Junta","Retentor","Gaxeta","c"
"O que indica a classe 8.8 em parafusos?","Resistência à tração e escoamento","Diâmetro e passo","Material e revestimento","Comprimento e rosca","a"
"Qual esforço corta um elemento com forças opostas?","Tração","Compressão","Cisalhamento","Flexão","c"
"Que elemento transmite torque entre eixo e cubo?","Pino","Chaveta","Anel","Rebite","b"
"Qual rosca é cônica para vedação em tubos?","Métrica","NPT","UNF","Whitworth","b"
"Que rolamento suporta apenas cargas axiais?","Rígido de esferas","De rolos cilíndricos","Axial de esferas","Autocompensador","c"
"O que é 'flambagem'?","Encurvamento por compressão","Alongamento por tração","Torção por rotação","Corte por cisalhamento","a"
"Qual acoplamento permite desalinhamento paralelo?","Rígido","Oldham","Magnético","De disco","b"
"Que vedação estática é anel de borracha redondo?","Junta","Gaxeta","O'ring","Retentor","c"
"Qual elemento tem cabeça e corpo para unir chapas?","Pino","Parafuso","Rebite","Cavilha","c"
"Que tipo de mancal usa bucha e babbitt?","De rolamento","De deslizamento","Axial","Magnético","b"
"O que significa 'M10' em roscas?","Diâmetro 10 mm","Passo 10 mm","Comprimento 10 mm","Classe 10","a"
"Qual rolamento tem rolos cônicos e anéis separáveis?","Rígido de esferas","De rolos cônicos","Axial","De agulhas","b"
"Que elemento protege mancais de contaminantes?","Chaveta","Protetor","Anel","Pino","b"
"Qual esforço curva um elemento com força perpendicular?","Tração","Compressão","Cisalhamento","Flexão","d"
"Que tipo de correia tem seção trapezoidal?","Plana","Dentada","Em V","Sincronizadora","c"
"Qual selo mecânico tem duas faces de vedação?","Simples","Duplo","Cartucho","Componente","b"
"O que é 'passo' em roscas métricas?","Diâmetro","Distância entre filetes","Comprimento","Ângulo","b"
"Que rolamento tem elementos longos e finos?","De esferas","De rolos","De agulhas","Axial","c"
"Qual elemento alinha peças sem fixação rígida?","Chaveta","Pino de guia","Rebite","Parafuso","b"
"Que tipo de lubrificação usa névoa de óleo?","Graxa","Banho","Circulação","Névoa","d"
"O que significa 'API 52' em selos mecânicos?","Plano de selagem","Tipo de material","Classe de pressão","Diâmetro do eixo","a"
"João, técnico de manutenção, está apertando um parafuso em uma flange de tubulação. Ele percebe que o parafuso está sendo puxado longitudinalmente, tendendo a se alongar. Que tipo de esforço mecânico está atuando sobre o parafuso?","Compressão","Cisalhamento","Tração","Flexão","c"
"Maria precisa unir duas chapas de aço com um rebite. Ela sabe que o rebite será submetido a forças opostas que tendem a cortá-lo. Qual é o tipo de esforço que o rebite sofre nessa situação?","Flambagem","Torção","Cisalhamento","Flexão","c"
"Carlos está montando um conjunto de engrenagens em um eixo. Ele precisa fixar a engrenagem no eixo de forma que ela não gire nem se desloque axialmente, mesmo sob vibrações constantes. Qual elemento de fixação é mais indicado?","Porca","Arruela","Pino cilíndrico","Rebite","c"
"Ana precisa escolher um parafuso para uma aplicação que exige alta resistência. Ela observa na cabeça do parafuso a marcação '10.9'. O que significa o número '10' na classe de resistência 10.9?","Limite de escoamento em N/mm²","Limite de ruptura em N/mm² dividido por 100","Resistência à tração multiplicada por 10","Número de roscas por polegada","b"
"Pedro está montando um rolamento em um eixo de bomba centrífuga e precisa saber qual a função da gaiola no rolamento. Para que serve a gaiola em um rolamento?","Aumentar a carga radial","Manter os corpos rolantes espaçados e guiá-los","Reduzir o diâmetro interno","Substituir a lubrificação","b"
"Luana está analisando um selo mecânico simples de uma bomba e nota que há vazamento mínimo de líquido entre as faces. Esse vazamento mínimo em selos mecânicos simples tem qual função?","Indicar falha iminente","Lubrificar as faces do selo","Aumentar a pressão interna","Reduzir a temperatura do eixo","b"
"Rafael precisa transmitir movimento entre dois eixos desalinhados e opta por um acoplamento flexível. Qual é a principal vantagem de um acoplamento flexível?","Suportar apenas cargas radiais","Permitir desalinhamentos entre os eixos","Não necessitar de lubrificação","Ser mais barato que os rígidos","b"
"Juliana está substituindo uma chaveta em um eixo e percebe que a chaveta sofre esforços que tendem a girá-la no rasgo. Além do cisalhamento, qual outro esforço a chaveta sofre nessa situação?","Tração","Torção","Flambagem","Compressão","b"
"Marcos está selecionando um mancal para um eixo de baixa rotação e alta carga. Ele lembra que existem mancais de deslizamento e de rolamento. Para essa aplicação, qual tipo de mancal é mais indicado?","Mancal de rolamento de esferas","Mancal de deslizamento com bucha de bronze","Mancal de rolamento de agulhas","Mancal axial de esferas","b"
"Carla está vedando a tampa de uma caixa de engrenagens e precisa escolher um elemento de vedação estática. Qual dos itens abaixo é um exemplo de vedação estática?","Gaxeta de compressão","Retentor de lábio","Junta de borracha","Selo mecânico axial","c"
"Durante a inspeção de uma bomba centrífuga, técnicos identificam que o eixo apresenta movimento longitudinal indesejado. Qual elemento pode ser usado para limitar esse deslocamento axial?","Chaveta paralela","Anel elástico de retenção","Pino cônico","Cavilha","b"
"Em um sistema de transmissão por correia, a polia motora tem diâmetro de 100 mm e a movida de 200 mm. Se a motora gira a 1800 rpm, qual a rotação da polia movida?","900 rpm","1800 rpm","3600 rpm","450 rpm","a"
"Um rebite de cabeça redonda com diâmetro de 6 mm será usado para unir duas chapas de 2 mm e 3 mm de espessura. Qual deve ser seu comprimento útil?","9 mm","11 mm","14 mm","16 mm","c"
"Qual é o principal objetivo do tratamento térmico em parafusos das classes 8.8, 10.9 e 12.9?","Aumentar a ductilidade","Reduzir o custo de fabricação","Aumentar a resistência mecânica","Melhorar a aparência superficial","c"
"Em um rolamento codificado como 6205, qual é o diâmetro do furo interno?","5 mm","20 mm","25 mm","30 mm","c"
"Qual tipo de rosca é mais adequada para sistemas de tubulação hidráulica que exigem vedação eficiente sem uso de vedante?","Rosca métrica ISO","Rosca UNF","Rosca NPTF","Rosca Whitworth","c"
"Em uma aplicação com elevada carga radial e necessidade de compensar desalinhamentos, qual tipo de rolamento é mais indicado?","Rolamento rígido de esferas","Rolamento de rolos cônicos","Rolamento autocompensador de rolos","Rolamento axial de esferas","c"
"Durante a montagem de um retentor de vedação, qual cuidado é fundamental para evitar danos ao lábio vedante?","Aplicar graxa abundantemente","Usar luva de proteção no eixo","Aquecer o retentor antes da montagem","Usar ferramentas de impacto","b"
"Qual é a principal função das arruelas em sistemas parafusados?","Aumentar a altura da junta","Proteger a face da junta e distribuir a carga","Substituir a porca quando necessário","Reduzir o torque de aperto","b"
"Em um sistema de vedação com selo mecânico duplo oposto 'costa a costa', qual é a função do fluido barreira?","Substituir o lubrificante do rolamento","Lubrificar as faces e dissipar calor","Aumentar a pressão do processo","Reduzir o custo operacional","b"
"Qual elemento de máquina é responsável por transformar movimento rotativo em linear através de um plano inclinado enrolado?","Engrenagem","Polia","Parafuso de potência","Chaveta","c"
"Durante a análise de falha de uma chaveta, observa-se que ela se partiu transversalmente. Qual esforço provavelmente causou essa falha?","Torção","Compressão","Cisalhamento","Flambagem","c"
"Qual tipo de acoplamento é recomendado para conectar um motor elétrico a uma bomba, permitindo pequenos desalinhamentos e amortecendo vibrações?","Acoplamento rígido flangeado","Acoplamento de dentes","Acoplamento elástico de pinos","Acoplamento magnético","c"
"Em uma rosca métrica M10 x 1,5, o que representa o número 1,5?","Diâmetro externo em mm","Passo em mm","Comprimento em mm","Número de filetes por polegada","b"
"Qual é a principal desvantagem dos mancais de deslizamento em comparação com os de rolamento?","Maior custo inicial","Menor capacidade de carga","Maior atrito e necessidade de lubrificação constante","Não suportar cargas axiais","c"
"Durante a seleção de uma gaxeta para vedação dinâmica, qual fator NÃO é considerado crítico?","Material da gaxeta","Cor do fluido processado","Temperatura de operação","Pressão do sistema","b"
"Qual tipo de rolamento é mais adequado para aplicações que exigem suportar cargas axiais pesadas em um único sentido?","Rolamento rígido de esferas","Rolamento de rolos cilíndricos","Rolamento axial de esferas","Rolamento autocompensador","c"
"O que significa a sigla 'NPT' em roscas para tubos?","National Pipe Thread","Normal Pipe Taper","New Pipe Type","National Parallel Thread","a"
"Durante a montagem de rolamentos, qual é a função da pré-carga?","Reduzir o ruído operacional","Aumentar a folga interna","Aumentar a rigidez do conjunto","Diminuir a velocidade máxima","c"
"Qual elemento de vedação estática é comumente usado em conexões flangeadas de tubulações?","Retentor de lábio","O'ring","Junta de fibra","Gaxeta de compressão","c"
"Em um sistema de transmissão por engrenagens, qual elemento é usado para converter movimento rotativo em linear?","Polia","Correia","Cremalheira","Acoplamento","c"
"Qual tipo de chaveta permite ajuste por conicidade e é indicada para transmissão de grandes forças?","Chaveta plana","Chaveta meia-cana","Chaveta de cunha","Chaveta tangencial","c"
"O que representa o fator 'dm x n' no cálculo da rotação máxima para lubrificação com graxa em rolamentos?","Diâmetro médio x rotação","Diâmetro mínimo x número de rolos","Desalinhamento máximo x número de horas","Carga dinâmica x velocidade","a"
"Qual é o principal material utilizado na fabricação de rolamentos convencionais?","Alumínio","Aço de alto carbono ao cromo","Bronze","Teflon","b"
"Em uma aplicação com temperatura elevada (acima de 200°C), qual tipo de vedação dinâmica é mais adequada?","Gaxeta de amianto","Retentor de borracha nitrílica","Selo mecânico com faces de carbono/cerâmica","O'ring de borracha natural","c"
"Qual tipo de acoplamento não transmite torque através de conexão mecânica direta, mas por campo magnético?","Acoplamento de garras","Acoplamento Oldham","Acoplamento magnético","Acoplamento de disco","c"
"Durante a análise de falha de um eixo, observam-se trincas iniciando em pontos de mudança brusca de seção. Qual fenômeno causou isso?","Corrosão","Fadiga por concentração de tensões","Desgaste abrasivo","Flambagem","b"
"Qual elemento de fixação é caracterizado por entalhes longitudinais que formam ressaltos e não exige furo de precisão?","Pino cilíndrico","Cavilha","Rebite","Parafuso","b"
"Em rolamentos, o que indica o sufixo 'C3' na codificação?","Folga interna maior que a normal","Tipo de gaiola de latão","Vedação de contato","Material especial","a"
"Qual plano de selagem API utiliza circulação da descarga da bomba para a câmara do selo através de um orifício calibrado?","API 11","API 52","API 62","API 23","a"
"Qual tipo de esforço ocorre quando uma barra comprida é submetida à compressão, causando encurvamento lateral?","Cisalhamento","Flambagem","Torção","Tração","b"
"Qual é a principal vantagem dos selos mecânicos sobre as gaxetas em bombas centrífugas?","Menor custo inicial","Maior facilidade de instalação","Vazamento quase nulo e menor manutenção","Não exigem lubrificação","c"
"O que significa a marcação 'UNF' em roscas no sistema inglês?","Unified National Fine","Universal Normal Fine","United National Force","Uniform National Form","a"
"Durante a montagem de um rolamento com furo cônico, qual elemento é utilizado para ajustá-lo ao eixo?","Arruela de pressão","Porca de fixação","Bucha de fixação","Chaveta tangencial","c"
"Qual tipo de lubrificação é mais adequada para rolamentos operando em altíssimas rotações (dm*n > 1.000.000)?","Graxa convencional","Lubrificação por névoa de óleo","Graxa de alta viscosidade","Lubrificação a seco","b"
"Em uma junta parafusada de flange, qual é a função principal dos parafusos?","Transmitir torque","Criar compressão na junta para vedação","Alinhar as flanges","Absorver vibrações","b"
"Qual elemento de transmissão é composto por dentes cortados em uma barra reta, convertendo movimento rotativo em linear?","Polia","Correia","Engrenagem","Cremalheira","d"
"O que indica o código 'BSPT' em conexões rosqueadas?","British Standard Parallel Thread","British Standard Pipe Taper","Basic Standard Pipe Thread","British Special Pipe Thread","b"
"Durante a seleção de um material para gaxeta que atuará em meio ácido, qual característica é mais importante?","Cor do material","Resistência química","Dureza superficial","Condutividade térmica","b"
"Qual é o principal cuidado ao estocar rolamentos por longos períodos?","Manter em temperatura abaixo de 0°C","Evitar luz solar direta e umidade relativa alta","Armazenar verticalmente","Manter em atmosfera de nitrogênio","b"
