"Em um sistema de filtragem dupla com válvula de transferência, durante a troca do elemento filtrante de um dos filtros, é essencial que:","A válvula de transferência seja completamente fechada no lado a ser trocado","A pressão diferencial seja aliviada antes da abertura","O fluxo de óleo seja interrompido para evitar contaminação","Não haja possibilidade de passagem de óleo não filtrado pelo filtro em manutenção","D"
"Qual é a principal diferença entre PLVs e PSVs?","PLVs operam apenas com fluidos compressíveis","PSVs não requerem calibração","PLVs são usadas apenas em bombas centrífugas","PLVs têm abertura proporcional à pressão excedente","D"
"Qual é a principal função do lubrificante em equipamentos industriais?","Reduzir o desgaste e o atrito","Dissolver contaminantes metálicos","Aumentar a temperatura de operação","Aumentar o atrito entre superfícies","A"
"Por que bombas de deslocamento positivo requerem obrigatoriamente PLVs?","Porque a vazão é quase independente da pressão","Porque requerem lubrificação especial","Porque operam em alta temperatura","Porque são pouco eficientes","A"
"Na equação de Bernoulli, quais são as três formas de energia consideradas?","Energia de deformação, térmica e cinética","Energia de pressão, cinética e potencial","Energia térmica, cinética e potencial","Energia química, elétrica e mecânica","B"
"Qual material é recomendado para tubulações do Grupo 4 (óleo de lubrificação) segundo a norma API 614?","Cobre e suas ligas","Aço carbono ASTM A106-B","Aço inox austenítico ASTM A312 tipo 304 ou 316","Aço liga ASTM A193","C"
"Uma limitação importante dos sistemas hidráulicos é a dependência da temperatura. Isso ocorre porque a variação de temperatura afeta diretamente:","A pressão de vapor do fluido, causando cavitação","A capacidade de armazenamento do reservatório","A resistência mecânica das tubulações","A viscosidade do fluido, alterando vazamentos e perdas","D"
"Qual é a velocidade de fluxo recomendada para linhas de sucção das bombas em sistemas de lubrificação?","3 a 5 m/s","1,5 a 3 m/s","0,15 a 0,3 m/s","1 a 1,5 m/s","D"
"Para um sistema de lubrificação de mancais de deslizamento, qual é o nível de limpeza hidráulica típico recomendado segundo a tabela do documento?","ISO 20/18/15","ISO 16/14/11","ISO 19/16/13","ISO 15/13/10","B"
"Segundo a norma ASME B31.3, os sistemas de tubulação devem ter flexibilidade suficiente para evitar qual dos seguintes problemas?","Perda de eficiência energética","Vazamento nas junções devido à expansão térmica","Contaminação do fluido","Corrosão acelerada","B"
"Em uma análise de flexibilidade de tubulações, a utilização de loops (voltas) é uma solução comum. Qual é o princípio físico por trás dessa solução?","Isolar termicamente o fluido","Aumentar a rigidez da tubulação","Absorver a dilatação térmica por meio de deformação elástica","Reduzir a pressão interna","C"
"As juntas de expansão são recomendadas como primeira opção para adequar a flexibilidade das tubulações?","Sim, mas apenas em tubulações de pequeno diâmetro","Não, é preferível adequar através do traçado ou ancoragens","Sim, são sempre a melhor opção","Não, pois são muito caras","B"
"A equação Dy/(L-U)² ≤ K1 é utilizada na norma ASME B31.3 para:","Dimensionar suportes de tubulação","Determinar a pressão máxima admissível","Calcular a espessura mínima da parede","Verificar a necessidade de análise detalhada de flexibilidade","D"
"Qual é a finalidade das juntas de expansão em tubulações?","Facilitar a montagem","Filtrar impurezas","Absorver dilatações térmicas, esforços mecânicos e vibrações","Aumentar a pressão do sistema","C"
"Um tubo de aço inox ASTM A312 TP316 com costura soldada por resistência elétrica (ERW) tem fator de qualidade E=0,85. Se o mesmo tubo fosse sem costura, o fator seria 1,0. Isso significa que, para a mesma pressão, a espessura calculada para o tubo soldado deve ser:","Independente do fator, pois a norma API 614 exige espessura mínima","Menor que a do tubo sem costura","Igual, pois o fator não influencia","Maior, pois a tensão admissível efetiva é reduzida","D"
"Qual é o caimento mínimo recomendado para o fundo do reservatório em direção ao dreno?","5% (50 mm/m)","3% (30 mm/m)","1% (10 mm/m)","2% (20 mm/m)","D"
"De acordo com a API 614, a capacidade de rundown de um reservatório de óleo lubrificante deve ser suficiente para receber todo o óleo do sistema acrescido de uma folga de 10%. Isso significa que o volume disponível acima do nível mínimo operacional deve ser:","110% do volume de óleo nos componentes","120% do volume de óleo nos componentes","10% do volume de óleo nos componentes","Exatamente igual ao volume de óleo contido nos componentes","A"
"Qual é o tempo mínimo de residência do óleo recomendado para o dimensionamento de reservatórios?","15 minutos de vazão normal","3 minutos de vazão normal","10 minutos de vazão normal","5 minutos de vazão normal","D"
"Qual é a função principal dos acumuladores hidráulicos em sistemas de lubrificação?","Filtrar o óleo","Manter a pressão durante transientes e falhas de bomba","Armazenar óleo contaminado","Resfriar o óleo","B"
"Qual é a função do rundown tank?","Coletar óleo contaminado","Resfriar o óleo antes da filtragem","Fornecer óleo lubrificante em caso de falha de suprimento","Armazenar óleo novo para reposição","C"
"Qual é o tempo mínimo de lubrificação que o rundown tank deve fornecer?","10 minutos","1 minuto","5 minutos","3 minutos","C"
