"Qual é o princípio fundamental de funcionamento de uma bomba centrífuga?","Transformar energia elétrica em energia térmica","Transformar energia mecânica em energia cinética e de pressão no líquido","Transformar energia potencial em energia química","Transformar energia hidráulica em energia elétrica","B"
"O que significa escorvar uma bomba centrífuga?","Aumentar a rotação do motor","Eliminar o ar do interior da bomba e tubulação de sucção","Lubrificar os mancais","Ajustar a válvula de descarga","B"
"Em uma bomba centrífuga, a região de menor pressão normalmente é:","No bocal de descarga","Na voluta","No olho do rotor","Na saída do impelidor","C"
"Vazão em um sistema de bombeamento é definida como:","A pressão exercida pelo líquido","A quantidade de fluido que escoa por unidade de tempo","A altura geométrica de sucção","A potência consumida pela bomba","B"
"Qual a principal função do rotor (impelidor) em uma bomba centrífuga?","Filtrar partículas sólidas","Transmitir energia ao líquido por força centrífuga","Controlar a vazão","Vedação do eixo","B"
"A sigla NPSH (Net Positive Suction Head) refere-se a:","Altura manométrica total","Pressão absoluta disponível na sucção para evitar cavitação","Perda de carga na tubulação","Potência hidráulica da bomba","B"
"Cavitação em bombas centrífugas é um fenômeno que ocorre quando:","A bomba opera com líquido muito viscoso","A pressão do líquido atinge a pressão de vapor, formando bolhas que colapsam","Há excesso de lubrificação nos mancais","A rotação da bomba é muito baixa","B"
"Pressão de vapor de um líquido é:","A pressão na qual o líquido vaporiza a uma dada temperatura","A pressão atmosférica local","A pressão necessária para vaporizar completamente o líquido","A pressão de descarga da bomba","A"
"De acordo com a equação de Bernoulli, em um escoamento horizontal de um fluido ideal, se a velocidade aumenta, a pressão:","Aumenta","Diminui","Permanece constante","Varia de acordo com a densidade","B"
"Para que não ocorra cavitação em uma bomba centrífuga, é necessário que:","NPSH disponível seja menor que NPSH requerido","NPSH disponível seja igual a NPSH requerido","NPSH disponível seja maior que NPSH requerido","NPSH requerido seja maior que a pressão atmosférica","C"
"Qual dos seguintes fatores NÃO influencia o NPSH disponível (NPSHd) em uma instalação?","Altitude do local","Temperatura do líquido","Diâmetro do rotor","Perda de carga na sucção","C"
"A velocidade específica (nq) de uma bomba centrífuga é um parâmetro utilizado para:","Determinar a potência do motor","Classificar o tipo de rotor e prever seu desempenho","Calcular a perda de carga","Medir a viscosidade do fluido","B"
"O ponto de melhor eficiência (BEP) de uma bomba centrífuga é:","O ponto de máxima vazão","O ponto de máxima pressão","O ponto onde a bomba opera com máxima eficiência","O ponto de mínima potência","C"
"O número de Reynolds é utilizado para caracterizar o regime de escoamento. Para escoamento laminar em tubulações, o valor de Reynolds é tipicamente:","Re < 2300","Re entre 2300 e 4000","Re > 4000","Re = 5000","A"
"Perda de carga em uma tubulação é causada principalmente por:","Aumento da pressão atmosférica","Atrito do fluido com as paredes e acessórios","Variação da densidade do fluido","Redução da temperatura","B"
"A equação da continuidade para fluidos incompressíveis estabelece que:","A vazão mássica é constante ao longo do escoamento","A pressão é constante","A velocidade é constante","A temperatura é constante","A"
"Uma consequência típica da cavitação em bombas centrífugas é:","Aumento da eficiência","Redução da vibração","Desgaste do rotor por implosão de bolhas","Aumento da pressão de descarga","C"
"A altura manométrica total (AMT) em um sistema de bombeamento é a soma de:","Altura de sucção + altura de recalque","Altura de sucção + altura de recalque + perdas de carga","Altura de sucção + perdas de carga","Altura de recalque + perdas de carga","B"
"Pressão absoluta é definida como:","Pressão manométrica + pressão atmosférica","Pressão manométrica - pressão atmosférica","Pressão atmosférica - pressão manométrica","Apenas a pressão medida por um manômetro","A"
"A viscosidade de um fluido representa:","A resistência ao escoamento","A massa específica","A pressão de vapor","A capacidade de transferir calor","A"
"Em uma bomba centrífuga, se a curva do sistema se deslocar para cima (maior altura manométrica para a mesma vazão), o ponto de operação se desloca para:","Maior vazão e menor altura","Menor vazão e maior altura","Maior vazão e maior altura","Menor vazão e menor altura","B"
"Uma velocidade específica (nq) elevada em uma bomba centrífuga indica que o rotor é tipicamente do tipo:","Radial","Axial","Misto","Diagonal","B"
"O NPSH requerido (NPSHr) de uma bomba centrífuga é determinado:","Pelo projeto da bomba e fornecido pelo fabricante","Pelos condições de instalação","Pela altura de sucção","Pela pressão atmosférica local","A"
"A cavitação ocorre quando a pressão local do líquido atinge um valor igual ou inferior à:","Pressão atmosférica","Pressão de vapor do líquido na temperatura de bombeamento","Pressão de descarga","Pressão crítica do fluido","B"
"A perda de carga localizada em conexões é geralmente expressa em termos de:","Comprimento equivalente de tubulação","Rugosidade absoluta","Número de Reynolds","Diâmetro hidráulico","A"
"No escoamento turbulento, as partículas do fluido:","Movem-se em camadas paralelas","Descrevem trajetórias irregulares com formação de redemoinhos","Mantêm velocidade constante","Não há mistura entre camadas","B"
"A equação de Bernoulli para um fluido ideal incompressível em regime permanente inclui os termos de energia:","Cinética, potencial e de pressão","Cinética e de pressão apenas","Potencial e de pressão apenas","Térmica e cinética","A"
"O fator de atrito de Moody em tubulações depende de:","Número de Reynolds e rugosidade relativa","Apenas da velocidade","Apenas do diâmetro","Da densidade e viscosidade apenas","A"
"As bombas centrífugas são amplamente utilizadas na indústria porque:","São adequadas para fluidos muito viscosos","Podem operar com grandes vazões e pressões moderadas","Não necessitam de manutenção","Funcionam apenas com líquidos limpos","B"
"Pressão manométrica é aquela que:","Tem como referência o vácuo absoluto","Tem como referência a pressão atmosférica","É medida por barômetros","É sempre positiva","B"
"A função da válvula de pé em uma instalação de bombeamento é:","Controlar a vazão de descarga","Impedir o retorno do líquido na sucção e manter a escorva","Proteger contra golpe de aríete","Filtrar partículas sólidas","B"
"O golpe de aríete em sistemas de bombeamento é causado por:","Variação brusca da velocidade do fluido","Cavitação","Baixa pressão na sucção","Alta viscosidade","A"
"Em condições normais (ao nível do mar, água fria), a altura de sucção máxima recomendada para bombas centrífugas é cerca de:","2 mca","5 mca","8 mca","15 mca","C"
"Submergência é definida como:","A distância entre o nível dinâmico e o ponto de sucção","A altura geométrica de sucção","A pressão na entrada da bomba","O comprimento da tubulação de recalque","A"
"Uma bomba centrífuga auto-aspirante é capaz de:","Operar sem necessidade de escorva inicial","Aumentar automaticamente a pressão","Bombear líquidos com sólidos","Funcionar sem motor","A"
"O aumento da viscosidade do líquido bombeado em uma bomba centrífuga tende a:","Aumentar a vazão e a altura manométrica","Reduzir a vazão, a altura e a eficiência","Não afetar o desempenho","Aumentar apenas a potência consumida","B"
