"Em uma linha de transferência com fluidos agressivos, a equipe precisa selecionar um revestimento interno com baixa aderência e alta resistência química. Qual material descreve essa aplicação?","Policarbonato (PC)","Politetrafluoretileno (PTFE)","Polipropileno (PP)","Policloreto de vinila (PVC)","B"
"Um projeto de isolamento térmico industrial requer produto em manta para até cerca de 1200 °C, aplicado em fornos e dutos quentes. Qual material atende esse cenário?","Lã de rocha basáltica (fibra mineral)","Polietileno de alta densidade (PEAD)","Poliuretano (PU)","Nylon (PA)","A"
"Um tanque de armazenamento exposto a ambiente químico agressivo precisa de laminado estruturado com boa resistência específica e custo competitivo. Qual compósito é característico disso?","Concreto (matriz mineral particulada)","Polímero reforçado com fibra de vidro (PRFV)","Cermeto WC-Co (metal duro)","Polipropileno com carbonato de cálcio (PP+CaCO3)","B"
"Na seleção de juntas de vedação para colunas e flanges frágeis, o engenheiro precisa de material com boa conformabilidade e base em fluoropolímero expandido. Qual opção corresponde a essa descrição?","PTFE expandido (junta)","Nitrílico hidrogenado (HNBR)","Poliuretano (PU)","Silicone (VMQ)","A"
"Um duto enterrado precisa de proteção anticorrosiva externa aplicada por enrolamento no campo, conforme norma para fitas. Que opção representa o material citado em especificações de dutos?","Fita de polietileno com massa asfáltica (Betufita preta)","Epóxi de cura térmica (FBE)","Polibutadieno (BR)","Poliestireno de alto impacto (HIPS)","A"
"Um projeto de válvulas para serviço severo requer anéis de vedação com ampla faixa de temperatura e alta resistência química, usados em indústria química e óleo e gás. Qual elastômero é típico?","Nitrílico (NBR)","Etileno-propileno-dieno (EPDM)","Fluoroelastômero (FKM)","Butílico (IIR)","C"
"No isolamento térmico de componentes submetidos a até cerca de 1380 °C, a equipe avalia fibras cerâmicas leves em forma de manta. Qual material se aproxima dessa especificação?","Fibra cerâmica alumina-sílica (Al2O3-SiO2)","Polímero fluorinado (PTFE)","Poliestireno expandido (EPS)","Polietileno expandido (EPE)","A"
"Um equipamento de corte precisa de pastilhas com altíssima dureza e resistência ao desgaste para usinagem severa. Qual tipo de material é escolhido para esse cenário?","Cermeto de carboneto de tungstênio e cobalto (WC-Co)","Poliuretano (PU)","Polietileno de ultra-alto peso molecular (PEUAPM)","Lâmina em vidro temperado (SiO2 vítreo)","A"
"Na proteção balística de coletes e capacetes, a equipe seleciona fibras de alto módulo e alta resistência ao impacto, empregadas em matriz polimérica. Que fibras são típicas nessa aplicação?","Fibras de vidro (E-glass)","Fibras de aramida (Kevlar, Nomex)","Fibras de carbono (CF)","Fibras de algodão (celulose)","B"
"Um projeto de componentes injetados requer polímero semicristalino de uso geral, empregado em peças automotivas e industriais, com boa processabilidade. Qual material se enquadra nesta descrição?","Politetrafluoretileno (PTFE)","Polipropileno (PP)","Policlorepreno (CR)","Policarbonato (PC)","B"
"Uma peça técnica sujeita a atrito, com necessidade de boa resistência à fadiga e baixa fricção, é projetada em polímero higroscópico usado em engrenagens e mancais. Qual opção corresponde?","Nylon (PA)","Poliestireno (PS)","Polietileno (PE)","Poliuretano (PU)","A"
"Um projeto de vedações para variação intensa de temperatura e contato com gases escolhe elastômero com boa impermeabilidade e faixa térmica ampla. Que material atende essa condição?","Silicone (VMQ)","Nitrílico (NBR)","Polietileno (PE)","Poliuretano (PU)","A"
"Na construção civil, um material composto usado em estruturas e fundações combina matriz mineral e agregado particulado, formando produto de alta rigidez. Qual exemplo representa esse compósito?","Concreto (matriz mineral + agregado particulado)","Poliamida reforçada (PA+fibra de vidro)","Celeron fenólico (fenolite com tecido)","Epóxi reforçado com carbono (CFRP)","A"
"Para proteção anticorrosiva externa de dutos em plantas industriais, aplica-se revestimento rígido aplicado em fábrica baseado em resina termoendurecível. Qual sistema é típico?","Epóxi de cura térmica (FBE)","Polietileno expandido (EPE)","Poliuretano flexível (PU)","Poliuretano termoplástico (TPU)","A"
"Um componente isolante elétrico em placa precisa de laminado com boa resistência mecânica, boa usinabilidade e base em resina fenólica e papel kraft. Qual material atende a essa descrição?","Fenolite laminado com papel (fenólico com papel)","Celeron com tecido de algodão (fenólico com tecido)","Polipropileno (PP)","Policarbonato (PC)","A"
"Em serviços que envolvem contato com hidrocarbonetos e combustíveis, são usados anéis de vedação com boa resistência a óleos, fabricados em elastômero amplamente disponível. Qual opção representa essa família?","Nitrílico (NBR)","Etileno-propileno-dieno (EPDM)","Silicone (VMQ)","Policloreto de vinila (PVC)","A"
"Uma peça plástica recebe carga mineral para obter maior rigidez e ajuste de custo, mantendo uma matriz termoplástica comum. Qual sistema ilustra esse tipo de compósito particulado?","Polipropileno com carbonato de cálcio (PP+CaCO3)","Nylon com fibra de vidro (PA+fibra)","Epóxi e fibra de carbono (CFRP)","Epóxi com tecido de algodão (Celeron)","A"
"Um vidro para portas e janelas precisa ser tratado de forma a melhorar resistência mecânica superficial, mantendo transparência. Qual material e tratamento são típicos?","Vidro temperado (SiO2 vítreo)","Policarbonato compacto (PC)","Epóxi transparente (EP)","Polimetilmetacrilato (PMMA)","A"
