"Óleos básicos minerais classificados como de 'base mista' são aqueles que:","São obtidos exclusivamente por hidrogenação","Apresentam predominância de hidrocarbonetos parafínicos","Não têm predominância de um tipo sobre o outro (parafínico, naftênico, aromático)","São misturados com óleos sintéticos","C"
"O teste de corrosão em lâmina de cobre é especialmente importante para óleos que contêm aditivos de:","Extrema pressão à base de enxofre, fósforo ou cloro","Antioxidante","Antiespumante","Abaixador de ponto de fluidez","A"
"Na classificação das graxas por penetração trabalhada, uma graxa NLGI 2 apresenta:","Consistência muito dura para mancais abertos","Consistência adequada para engraxadeira manual","Consistência semifluida para sistemas centralizados","A maior penetração entre os graus","B"
"Qual das seguintes características NÃO é uma função secundária dos lubrificantes?","Transferência de calor","Proteção contra corrosão","Aumento da rugosidade superficial","Auxílio à vedação","C"
"O atrito limite ocorre quando:","Não há lubrificante entre as superfícies","A espessura do lubrificante é superior à altura da aspereza","A lubrificação é feita apenas por graxa","A espessura do lubrificante é inferior à altura da aspereza, havendo contato direto entre os picos","D"
"Em um sistema de lubrificação por banho com anel, qual tipo de óleo é inadequado?","Óleo muito viscoso, pois pode prender o anel","Óleo sintético","Óleo com alto índice de viscosidade","Óleo com aditivos antiespumantes","A"
"O que caracteriza o sistema de lubrificação por perda total?","O óleo é aquecido para reduzir a viscosidade","O sistema é selado e protegido do exterior","Não há recuperação do lubrificante; a quantidade é limitada","O lubrificante é constantemente recirculado e filtrado","C"
"O índice de refração, mencionado na tabela comparativa de óleos básicos, é uma propriedade que:","Determina a temperatura de fluidez","Mede a demulsibilidade","Auxilia na identificação do tipo de base (parafínica, naftênica, aromática)","Indica a resistência à oxidação","C"
"Segundo o texto, qual a principal limitação do uso de graxas à base de sabão de sódio?","Baixo ponto de gota","Incompatibilidade com rolamentos","Fraca aderência","Solubilidade em água","D"
"O teste de extrema pressão 'Four Ball' (quatro esferas) mede a capacidade do lubrificante determinando:","A viscosidade a altas pressões","A carga máxima suportada antes da soldagem das esferas","A temperatura de flash","A resistência à oxidação","B"
"A diferença entre um óleo básico mineral e um óleo rerrefinado, segundo a tabela apresentada, é que o rerrefinado geralmente apresenta:","Cor mais escura, maior índice de acidez e maior resíduo de carbono","Cor mais clara e maior índice de viscosidade","Menor ponto de fulgor","Maior ponto de fluidez","A"
"Os ésteres de poliol (POE) são óleos sintéticos que se destacam por:","Baixa lubricidade","Compatibilidade total com óleos minerais","Alta estabilidade térmica e baixa volatilidade, usados em aplicações de alta temperatura","Serem os mais baratos entre os sintéticos","C"
"Na lubrificação de mancais de deslizamento com graxa, o principal fator a ser considerado é:","O ponto de gota","A viscosidade do óleo base","A resistência à água","A consistência da graxa","D"
"O que significa o alarme de 'alta densidade de névoa' em um gerador de névoa?","A pressão de ar está muito baixa","A névoa está muito seca","A quantidade de óleo atomizada está acima do ideal","A temperatura do óleo está muito alta","C"
"Segundo o material, uma das ações imediatas em caso de falha do sistema principal de geração de névoa é:","Ajustar a pressão de ar no painel","Passar para o sistema auxiliar e verificar a qualidade da névoa","Parar a unidade imediatamente","Drenar o óleo do reservatório","B"
"O que a sigla 'WPC' (wear particle concentration) representa na ferrografia direta?","A relação entre partículas grandes e pequenas","O índice de severidade de desgaste","A concentração de partículas de desgaste, calculada como DL + DS","A porcentagem de partículas ferromagnéticas","C"
"Na análise por ferrografia analítica, partículas que apresentam coloração vermelha ou preta amarronzada são indicativas de:","Óxidos ferrosos (ferrugem)","Desgaste severo","Fadiga superficial","Desgaste abrasivo","A"
"Segundo o estudo de caso do motor a gás na plataforma, a queda rápida da basicidade (IBT) foi causada por:","Contaminação do lubrificante por H2S presente no gás","Desgaste excessivo dos mancais","Uso de óleo com baixo índice de viscosidade","Oxidação térmica do óleo","A"
"O material cita que, segundo a SKF, qual é a principal causa de falhas em rolamentos?","Fadiga do mancal (34%)","Contaminação do lubrificante (14%)","Lubrificação incorreta (36%)","Montagem incorreta (16%)","C"
"Na troca de um óleo mineral por um óleo sintético, um cuidado fundamental é:","Utilizar um aditivo de compatibilidade","Manter o mesmo filtro para não perder aditivos","Aumentar a pressão de operação","Realizar a limpeza e descontaminação do sistema para evitar reações entre aditivos","D"
"O ensaio de estabilidade ao cisalhamento temporário (HTHS) mede a viscosidade de um óleo de motor à temperatura de 150°C com o objetivo de:","Avaliar a perda permanente de viscosidade","Determinar o ponto de fulgor","Simular condições de mancal em altas taxas de cisalhamento","Calcular o índice de viscosidade","C"
"Qual das seguintes afirmações sobre o ponto de anilina está correta?","Mede a resistência à formação de espuma","Indica a temperatura máxima de trabalho de um óleo","É utilizada para determinar a reserva alcalina","Está relacionada à tendência de ataque a elastômeros","D"
"A função principal dos aditivos passivadores de metal é:","Evitar a ação catalítica dos metais na oxidação do óleo","Melhorar a demulsibilidade","Aumentar a capacidade de extrema pressão","Reduzir a viscosidade","A"
