"Qual é a principal função de um lubrificante?","Dissolver contaminantes sólidos","Formar uma película que impede o contato direto entre superfícies","Aumentar o atrito entre as peças","Aumentar a temperatura das superfícies","B"
"No atrito fluido (hidrodinâmico), a espessura da película de lubrificante é:","Igual à rugosidade","Inexistente","Menor que a rugosidade das superfícies","Superior à altura da aspereza superficial","D"
"Os óleos lubrificantes podem ser classificados quanto à origem em:","Industriais e automotivos","Líquidos, pastosos e sólidos","Minerais, vegetais, animais e sintéticos","Parafínicos, naftênicos e aromáticos","C"
"Qual propriedade é considerada a mais importante de um óleo lubrificante?","Ponto de fulgor","Densidade","Índice de basicidade","Viscosidade","D"
"O índice de viscosidade (IV) indica:","A temperatura de inflamação","A resistência ao cisalhamento","A variação da viscosidade com a temperatura","A quantidade de aditivos","C"
"Um óleo com alto índice de viscosidade significa que:","Sua viscosidade varia pouco com a temperatura","Sua viscosidade varia muito com a temperatura","Sua viscosidade é alta a baixas temperaturas","Sua viscosidade é baixa a altas temperaturas","A"
"O ponto de fulgor é utilizado para:","Indicar a quantidade de água no óleo","Medir a resistência à oxidação","Determinar a temperatura mínima de trabalho","Avaliar a segurança operacional quanto à inflamabilidade","D"
"O ponto de fluidez de um óleo é a temperatura na qual:","O óleo começa a evaporar","O óleo para de fluir sob condições de resfriamento","O óleo atinge sua viscosidade máxima","O óleo entra em combustão","B"
"A demulsibilidade é uma propriedade importante para óleos de:","Compressores de ar","Engrenagens fechadas","Motores a combustão","Turbinas a vapor","D"
"Os aditivos antioxidantes têm a função de:","Aumentar a viscosidade","Melhorar a aderência","Reduzir o ponto de fluidez","Retardar a oxidação do óleo","D"
"Aditivos de extrema pressão (EP) são utilizados para:","Reduzir a formação de espuma","Proteger contra corrosão","Melhorar o índice de viscosidade","Suportar cargas localizadas elevadas","D"
"Qual tipo de óleo básico sintético é conhecido por sua fluidez a baixas temperaturas e compatibilidade com óleos minerais?","Polialfaolefinas (PAO)","Polialquileno glicol (PAG)","Silicones","Ésteres de fosfato","A"
"As graxas são compostas basicamente por:","Sabão + água + aditivos","Óleo + espessante + aditivos","Óleo + aditivos + água","Óleo + polímeros + solventes","B"
"A consistência de uma graxa é medida pelo teste de:","Penetração","Corrosão","Viscosidade","Ponto de gota","A"
"Graxas à base de sabão de lítio são amplamente utilizadas porque:","São solúveis em água","São multi-propósito, resistentes à água e têm boa estabilidade mecânica","São indicadas apenas para altas temperaturas","Têm baixo ponto de gota","B"
"Na lubrificação por névoa, a névoa 'seca' é aquela que:","Ainda não coalesceu e é transportada pelo ar","Contém água","É gerada por sistemas de banho","Já coalesceu e está na forma de gotas","A"
"Uma das vantagens da lubrificação por névoa é:","Reduzir a vida útil do óleo","Exigir paradas frequentes para troca de óleo","Manter pressão positiva na caixa de mancais, evitando entrada de contaminantes","Aumentar a temperatura de operação","C"
"No sistema de lubrificação centralizada do tipo progressivo, os dosadores:","São ligados em série, e cada pistão atua sequencialmente","São ligados em paralelo","São acionados manualmente","Funcionam por gravidade","A"
"A principal diferença entre lubrificação por banho e por circulação é:","No banho, o óleo é constantemente filtrado; na circulação, não","No banho, usa-se graxa; na circulação, óleo","No banho, o óleo fica no cárter e as peças mergulham; na circulação, o óleo é bombeado continuamente","No banho, a lubrificação é por perda total; na circulação, é selada","C"
"A contaminação de um óleo lubrificante por água pode ser identificada em campo pelo teste de:","Crepitação","Índice de acidez","Viscosidade","Ponto de fulgor","A"
"O teste de mata-borrão em óleo usado avalia:","A viscosidade","A quantidade de água","A presença de metais","A dispersão de fuligem e a oxidação","D"
"Na análise de óleos usados, um aumento da viscosidade pode ser causado por:","Oxidação ou contaminação por fuligem","Cisalhamento dos aditivos","Diluição por combustível","Presença de água","A"
"A ferrografia analítica permite:","Contar partículas por faixa de tamanho","Determinar o teor de água","Medir a viscosidade","Identificar a morfologia e composição das partículas de desgaste","D"
"O índice de basicidade total (IBT) é importante para óleos de motores porque:","Mede a reserva alcalina para neutralizar ácidos da combustão","Indica a viscosidade","Avalia a demulsibilidade","Determina o ponto de fulgor","A"
"Na espectrometria de metais, a presença de silício no óleo geralmente indica:","Aditivo antidesgaste","Contaminação por poeira (sílica)","Oxidação do óleo","Desgaste de mancais","B"
"Um óleo lubrificante com aspecto leitoso indica:","Oxidação","Contaminação por água","Presença de fuligem","Alta viscosidade","B"
"O método de cálculo BI (Bearing Inch) para dimensionamento de sistemas de névoa baseia-se em:","Temperatura de operação","Pressão de ar necessária","Volume de óleo por hora","Diâmetro do eixo em polegadas multiplicado pelo número de carreiras de elementos rolantes","B"
"A principal função dos aditivos detergentes-dispersantes em óleos de motor é:","Aumentar a viscosidade","Proteger contra ferrugem","Reduzir o atrito","Manter a fuligem em suspensão e limpar o motor","D"
"O ponto de gota de uma graxa é a temperatura na qual:","A graxa entra em combustão","A graxa perde sua consistência","A graxa começa a derreter e gotejar","A graxa se separa em óleo e sabão","C"
"Na classificação NLGI, quanto maior o número da graxa:","Mais dura ela é","Mais mole ela é","Maior o ponto de gota","Menor a resistência à água","A"
"A lubrificação por névoa purga (caixa úmida) caracteriza-se por:","É usada apenas em motores elétricos","Utiliza-se apenas ar comprimido","A névoa passa e o óleo é drenado, sem acúmulo","A névoa coalesce e forma um nível de óleo na caixa de mancais","D"
"Um dos principais problemas causados pela água no óleo é:","Aumento da viscosidade","Formação de ferrugem e quebra do filme lubrificante","Redução da oxidação","Melhora da lubricidade","B"
"Na análise de contagem de partículas, a norma ISO 4406 expressa o resultado com:","Uma letra","Um código de cores","Um único número","Três números separados por barras, representando faixas de tamanho","D"
"A ferrografia direta fornece:","Índices de partículas grandes e pequenas (DL e DS)","A composição química","O teor de água","A morfologia das partículas","A"
"O rerrefino de óleos lubrificantes usados consiste em:","Adicionar aditivos ao óleo usado","Diluir o óleo usado com óleo novo","Queimar o óleo para gerar energia","Remover contaminantes e produtos de degradação para obter óleo básico","D"
"Os óleos básicos naftênicos são caracterizados por:","Baixo ponto de fluidez e boa solubilidade","Alto índice de viscosidade","Baixa densidade","Alta resistência à oxidação","A"
"A adição de um melhorador de índice de viscosidade em óleos multiviscosos tem como efeito colateral:","Aumento do ponto de fulgor","Queda da viscosidade por cisalhamento em uso severo","Aumento da volatilidade","Redução da demulsibilidade","B"
"Em um sistema de lubrificação por anel, o nível de óleo deve ser mantido:","Abaixo do anel, de modo que o anel mergulhe parcialmente","Indiferente","No mesmo nível do eixo","Acima do anel","A"
"Segundo estudos, a presença de água no óleo lubrificante pode reduzir a vida útil de um rolamento em:","10 a 20%","29 a 73%","100%","80 a 90%","B"
"Um aumento no índice de acidez total (IAT) em um óleo em serviço indica:","Envelhecimento e oxidação do óleo","Perda de aditivos","Presença de água","Contaminação por combustível","A"
"A presença de partículas metálicas de cobre em uma análise de espectrometria pode indicar:","Aditivo de cobre","Oxidação do óleo","Desgaste em bronzinas ou buchas","Contaminação por poeira","C"
"O teste FZG é utilizado para avaliar a capacidade de:","Um lubrificante suportar cargas em engrenagens (extrema pressão)","Um óleo resistir à oxidação","Um óleo separar água","Uma graxa ter bombeabilidade","A"
"Na lubrificação por névoa, a velocidade do ar na tubulação deve ser mantida entre:","1 a 2 m/s","15 a 20 m/s","7 a 7,5 m/s","30 a 40 m/s","C"
"Na lubrificação por névoa, os reclassificadores têm a função de:","Converter a névoa seca em névoa úmida para lubrificação","Medir a pressão","Aquecer o óleo","Filtrar partículas","A"
"A principal desvantagem das graxas em relação aos óleos é:","Pior vedação","Maior tendência a vazamentos","Menor vida útil","Menor capacidade de dissipar calor","D"
"Um óleo lubrificante com cheiro ácido e aspecto espesso provavelmente está:","Oxidado","Contaminado com água","Contaminado com combustível","Diluído","A"
"Na contagem de partículas, um resultado ISO 4406 20/18/15 significa que:","Há mais partículas de 4 µm do que de 6 µm","O óleo está limpo","Há mais partículas de 14 µm do que de 6 µm","Os números representam as quantidades de partículas nas faixas >4, >6 e >14 µm","D"
"A formação de verniz em sistemas hidráulicos é um problema porque:","Forma depósitos duros que podem causar travamento de válvulas","Aumenta a viscosidade temporariamente","Melhora a lubrificação","É facilmente removível com solventes","A"
"Em um motor a combustão, a queda rápida do IBT pode indicar:","Excesso de aditivos","Uso de combustível com alto teor de enxofre","Contaminação por água","Baixa temperatura de operação","B"
"A constância na realização das análises de óleo é fundamental porque:","Permite acompanhar tendências e detectar problemas antes da falha","Elimina a necessidade de manutenção","É uma exigência legal","Reduz o custo do lubrificante","A"
