"Segundo as dicas do professor, abaixo de qual temperatura a formação de verniz se torna crítica em sistemas de lubrificação?","60°C","30°C","50°C","40°C","D"
"Os três parâmetros utilizados para definir as classes de óleos básicos (API) são:","Teor de enxofre, hidrocarbonetos saturados e índice de viscosidade","Índice de viscosidade, ponto de fulgor e índice de basicidade","Densidade, ponto de fluidez e resíduo de carbono","Índice de viscosidade, demulsibilidade e cor","A"
"Óleos básicos de Grupo 1 são produzidos por qual processo de refino?","Hidrocraqueamento","Rota solvente (extração de aromáticos com solvente)","Hidrogenação catalítica","Destilação a vácuo","B"
"Os ésteres, assim como os polialquileno glicóis (PAG) e os silicones, se enquadram em qual grupo de óleos básicos?","Grupo 1","Grupo 2","Grupo 5","Grupo 3","C"
"As polioleofinas (PAO) são utilizadas apenas para casos muito específicos devido a qual fator principal?","Custo elevado","Incompatibilidade com elastômeros","Baixo índice de viscosidade","Baixa estabilidade térmica","A"
"Em aplicações industriais, a viscosidade de um óleo pode variar em até qual percentual antes de ser considerada fora da especificação?","5%","20%","30%","10%","D"
"De acordo com o professor, qual a relação entre a presença de água e a formação de verniz?","A água acelera diretamente a formação de verniz","Não há relação direta entre a presença de água e a formação de verniz","A água é o principal agente formador de verniz","A água impede completamente a formação de verniz","B"
"O ensaio RPVOT (Rotating Pressure Vessel Oxidation Test) avalia a resistência do óleo à oxidação sob quais condições?","Alta umidade relativa","Baixa temperatura e vácuo","Exposição à luz ultravioleta","Presença de oxigênio em alta temperatura","D"
"O que caracteriza um óleo lubrificante classificado como 'mineral' em termos de composição?","Composição 100% derivada de petróleo sem aditivos sintéticos","Mistura de óleos vegetais e minerais","Percentual inferior a 10% de óleo sintético","Adição de até 30% de óleos graxos","C"
"Um óleo classificado como 'sintético' não pode conter em sua formulação:","Óleo básico mineral","Aditivos antioxidantes","Melhoradores de índice de viscosidade","Agentes antiespumantes","A"
"A avaliação da necessidade de monitoramento de um lubrificante não depende do projeto do equipamento, mas sim de:","Custo do lubrificante","Tempo de uso do equipamento","Cor do lubrificante","Criticidade do equipamento","D"
"Qual é a norma internacional de gestão da lubrificação citada nas dicas do professor?","ISO 4406","ICML 55.1","ASTM D445","SAE J300","B"
"Na classificação de óleos multiviscosos, como a nomenclatura 0W16 ou 5W40, a letra 'W' significa:","Work (trabalho)","Weight (peso)","Winter (inverno)","Wear (desgaste)","C"
"Na classificação API para óleos de motor, a letra 'S' (ex: SP, SN) indica que o óleo é destinado a motores:","Diesel (Service)","Stationary (estacionário)","Synthetic (sintético)","Spark ignition (ciclo Otto, a gasolina)","D"
"Quando não houver manual do fabricante ou informações sobre o equipamento, qual deve ser a base para a escolha do lubrificante?","Utilizar a norma técnica aplicável","Experiência do operador","Utilizar qualquer óleo de grau ISO VG 68","Solicitar análise de laboratório","A"
"Segundo as orientações, o monitoramento do lubrificante, por si só, é suficiente para garantir a confiabilidade do equipamento?","Sim, desde que a análise seja realizada semanalmente","Sim, o monitoramento do lubrificante substitui todas as outras avaliações","Não, é necessário complementar com outras avaliações como análise de vibração e termografia","Não, o monitoramento deve ser substituído pela troca programada","C"
"Apenas testar a viscosidade do óleo em uso é uma prática suficiente para determinar sua condição?","Sim, a viscosidade é o parâmetro mais importante e suficiente","Sim, desde que o teste seja feito a cada 15 dias","Não, a viscosidade não é um parâmetro relevante","Não, é necessário avaliar outros parâmetros como contaminação, acidez e presença de metais","D"
"Em um sistema hidráulico, qual componente não é obrigatório, embora seja importante para algumas funções?","Filtro","Acumulador hidráulico","Reservatório","Trocador de calor","B"
"Mesmo que exista um plano de lubrificação estabelecido, é necessário:","Realizar análises periódicas para validar a eficácia do plano","Seguir o plano sem alterações, independente de análises","Trocar o óleo antes do prazo estipulado","Ignorar as recomendações do fabricante","A"
"O resultado de uma análise de óleo que indica alteração nos parâmetros implica necessariamente na troca imediata do lubrificante e parada do equipamento?","Sim, qualquer alteração exige parada imediata","Sim, pois a segurança operacional é prioritária","Não, a análise indica tendências; a decisão deve considerar a severidade e o contexto","Não, a análise de óleo não tem relação com a tomada de decisão","C"
"O que é a reposição de nível constante de óleo e qual dispositivo está associado a ela?","Sistema centralizado de graxa, que mantém o nível de lubrificante","Copo graxeiro, utilizado exclusivamente para graxas","Sistema de lubrificação por névoa, que mantém nível constante por pressão","Copo conta-gotas, que repõe o nível em função da posição do suporte, utilizado em sistemas com óleo","D"
"Qual das seguintes é uma vantagem do sistema de lubrificação automática?","É mais fácil de instalar que o sistema manual","Reduz o risco de erro humano e otimiza o desempenho da máquina","Elimina completamente a necessidade de manutenção","Reduz o consumo de energia elétrica em 50%","B"
"A lubrificação por névoa de óleo é reconhecida por:","Reduzir a entrada de contaminantes e diminuir o consumo de óleo","Ser um sistema de fácil instalação e baixo custo inicial","Necessitar de paradas frequentes para manutenção","Utilizar grandes volumes de óleo em circulação","A"
"Quais são algumas causas comuns de contaminação de lubrificantes?","Viscosidade inadequada e baixo índice de viscosidade","Alta temperatura de operação e formação de verniz","Baixa pressão de ar e vazamento de gás","Umidade, poeira (sílica) e produtos de degradação do óleo","D"
"Para estruturar um plano de lubrificação eficaz, além de conhecer o equipamento, é fundamental considerar:","Apenas a recomendação do fornecedor de lubrificante","Exclusivamente o custo do lubrificante","A criticidade do equipamento, as condições ambientais e o histórico de análises","A cor do óleo usado","C"
"Em um sistema com lubrificação por copo conta-gotas, a posição do copo influencia:","O nível do óleo no mancal","A pressão da bomba principal","A viscosidade do lubrificante","A temperatura de operação","A"
"O sistema de lubrificação por névoa, comparado aos sistemas tradicionais, é considerado:","Ideal apenas para sistemas com graxa","Complexo para instalar, porém eficaz na redução de contaminação","Ineficaz para altas temperaturas","De fácil instalação e baixo custo de manutenção","B"
