"Qual o princípio de funcionamento de uma bomba centrífuga?","Funciona por deslocamento positivo, onde um pistão alternativo desloca o líquido da câmara de sucção para a descarga.","Baseia-se na variação de volume criada por engrenagens ou lóbulos que transportam o líquido da entrada para a saída.","O fluido é aspirado por vácuo criado pela condensação de vapor, sendo então impulsionado por diferença de pressão.","O fluido líquido a ser bombeado entra axialmente no bocal de sucção da voluta e chega até o centro do rotor. O rotor transforma a energia mecânica do eixo rotativo em energia cinética e de pressão (energia hidráulica), e por força centrífuga movimenta as partículas líquidas através da voluta (caracol) criando o fluxo de transferência de LÍQUIDO para linha de recalque;","D"
"O que é escorvar uma bomba centrífuga?","É o procedimento de preencher a voluta da bomba centrífuga e toda tubulação de sucção com o líquido a ser bombeado antes da operação.","É o procedimento de alinhar o eixo da bomba com o motor para evitar vibrações.","É a operação de lubrificar os mancais antes da partida da bomba.","É a verificação da vedação do selo mecânico para evitar vazamentos.","A"
"O que é uma Curva Característica de uma Bb centrífuga?","É um gráfico que relaciona a vazão com a temperatura do fluido para determinar a eficiência térmica.","É uma carta gráfica fornecida com a documentação do fabricante da BOMBA CENTRÍFUGA que mostra a relação de Vazão (Q) X Pressão (H), BEP (Best Point Efficiency), curvas de igual rendimento, potência consumida, NPSHrequerido, rotação (rpm), diâmetros do rotor;","É uma tabela de valores de pressão máxima suportada pela carcaça em função do tempo de operação.","É um diagrama que mostra a variação da viscosidade do fluido com a rotação da bomba.","B"
"O que é NPSHd e NPSHr?","NPSHd é a pressão de descarga e NPSHr é a pressão de recalque, ambos medidos em metros de coluna de líquido.","NPSHd é a pressão atmosférica local e NPSHr é a pressão de vapor do líquido, usados para calcular a altura manométrica.","NPSH é uma sigla inglesa que significa “Net Positive Suction Head”. NPSH disponível (NPSHd ou NPSHa) é a pressão absoluta por unidade de peso existente na sucção da bomba (entrada do rotor), a qual deve ser superior a pressão de vapor do fluído bombeado, e cujo valor depende das características do sistema e do fluído; NPSHr é a pressão absoluta mínima por unidade de peso, a qual deverá ser superior a pressão de vapor do fluído bombeado na sucção da bomba (entrada de rotor) para que não haja cavitação. Esta parcela de energia levantada em bancada de teste, depende das características da bomba, e portanto, deve ser fornecido pelo fabricante;","NPSHd é a altura geométrica de sucção e NPSHr é a perda de carga na tubulação, utilizados no dimensionamento da bomba.","C"
"O que é Cavitação?","É a formação de bolhas de ar na linha de sucção devido a vazamentos, causando perda de eficiência.","É o aquecimento excessivo do líquido devido ao atrito com as paredes da bomba, gerando vapor.","É a erosão causada por partículas sólidas em suspensão no líquido, desgastando o rotor.","É o fenômeno da formação bolsas\bolhas no interior da voluta, devido a pressão nesta região baixar até atingir a pressão de vapor do líquido, fazendo as partículas de líquido vaporizarem. Em seguida, conduzidas pela corrente líquida em regime de turbilhonamento, causado pelo movimento do impelidor, essas bolhas voltam para região de alta pressão em um espaço de tempo muito pequeno entrando em colapso, retornando ao seu estado líquido; O fenômeno do colapso das moléculas líquidas no interior da voluta das bombas centrífugas, arranca material das partes metálicas do rotor e voluta, danificando suas superfícies metálicas com marcas em forma de “pitting”;","D"
"Quais as consequências do fenômeno da cavitação em uma bomba centrífuga em funcionamento?","Vibração elevada, ruído excessivo, perda de material nos componentes da bomba por erosão, principalmente, no rotor e interno da carcaça;","Aumento da vazão e da pressão de descarga, melhorando o desempenho.","Redução da temperatura do fluido e aumento da eficiência energética.","Formação de depósitos de incrustações nas paredes internas da bomba.","A"
"Qual relação necessária entre o NPSHd e NPSHr para que não haja o fenômeno de cavitação em uma bomba centrífuga?","NPSHd = NPSHr","NPSHd > NPSHr (significa que NPSHd deve ser maior do que NPSHr);","NPSHd < NPSHr","NPSHd ≥ NPSHr, mas com folga de 10%","B"
"Quais os principais fatores operacionais que podem causar Cavitação em uma bomba centrífuga?","Desalinhamento do eixo, desbalanceamento do rotor e base civil com fissuras.","Falta de lubrificação nos mancais, desgaste dos anéis de desgaste e folgas excessivas.","Nível do reservatório que alimenta da linha de sucção insuficiente; Fluido bombeado fora da especificação físico-química; Perda de carga elevada na sucção, devido filtro na linha estar sujo (semiobstruído ou obstruído); Perda de carga elevada na sucção devida válvula de sucção fechada ou semifechada; Presença de gás ou ar na linha de sucção; Falta de escorva adequada nas tubulações de sucção e voluta da bomba; Pressão de vapor do líquido bombeado muito baixo; Temperaturas elevadas do líquido bombeado, devido recirculação excessiva do fluido bombeado; Recirculação excessiva devida válvula de descarga na linha de recalque fechada ou semifechada (elevando a temperatura do líquido bombeado);","Sobrecarga elétrica no motor, curto-circuito e falha no isolamento.","C"
"Quais os fatores mecânicos que podem causar vibração em uma Bb Centrífuga?","Desalinhamento entre eixos, desbalanceamento do conjunto rotativo, base civil do equipamento sem rigidez (ex; com fissuras ou parafuso de fixação solto); mancais com desgastes (folgas excessivas), eixo empenado.","Cavitação, baixo NPSHd, temperatura elevada do fluido, recirculação excessiva.","Sobrecarga elétrica, falta de fase, tensão incorreta, curto-circuito.","Válvula de descarga fechada, filtro sujo, nível baixo no reservatório, fluido viscoso.","A"
"O que é escorvar uma Bomba Centrífuga?","É o procedimento de ajustar a folga entre o rotor e a voluta para otimizar o rendimento.","É garantir que toda linha de sucção e carcaça de uma bomba centrífuga esteja totalmente cheia de líquido até o bocal da linha de descarga na voluta (flange de fixação da linha de recalque);","É a operação de purgar o ar da tubulação de descarga antes da partida.","É a verificação da estanqueidade da vedação do eixo com o fluido de teste.","B"
