"Qual é a definição de desalinhamento de eixos em máquinas rotativas?","Quando os eixos apresentam folga axial excessiva nos mancais","Quando as linhas centrais geométricas de dois eixos acoplados não coincidem ao longo do eixo de rotação","Quando o acoplamento flexível perde sua elasticidade por fadiga","Quando a temperatura de operação causa dilatação desigual das carcaças","B"
"Segundo estatísticas apresentadas no documento, qual é a porcentagem aproximada de falhas de máquinas atribuídas ao desalinhamento de eixos?","25%","50%","75%","90%","B"
"Qual dos seguintes NÃO é um tipo de desalinhamento entre eixos?","Desalinhamento radial (paralelo)","Desalinhamento angular","Desalinhamento combinado","Desalinhamento torsional","D"
"O desalinhamento puramente radial, também chamado de paralelo, ocorre quando:","As linhas de centro dos eixos são coplanares e formam um ângulo entre si","As linhas de centro dos eixos são paralelas entre si, porém não coincidentes","Os eixos giram em velocidades diferentes devido ao deslizamento do acoplamento","As superfícies dos flanges do acoplamento apresentam empenamento","B"
"Qual é o primeiro sintoma normalmente associado ao desalinhamento entre eixos?","Aumento da temperatura do óleo lubrificante","Vazamento nos selos mecânicos","Vibração excessiva","Ruído intermitente nos mancais","C"
"Além da vibração, qual componente sofre desgaste prematuro como um dos primeiros efeitos do desalinhamento?","Rolamentos e acoplamentos","Correias e polias","Tubulações de sucção","Filtros de linha","A"
"De acordo com o documento, um desalinhamento de 0,15 mm pode reduzir a vida útil dos rolamentos em até:","Duas vezes","Quatro vezes","Oito vezes","Cinquenta por cento","D"
"O correto alinhamento de eixos pode reduzir o consumo de energia elétrica em mais de:","5%","10%","15%","25%","C"
"Em relação aos acoplamentos flexíveis, é correto afirmar:","Eles permitem desalinhamentos ilimitados sem qualquer consequência","Eles devem ser alinhados dentro de tolerâncias mais restritas que o máximo geométrico indicado pelo fabricante","Eles eliminam completamente a necessidade de alinhamento dos eixos","Eles só são utilizados em baixas rotações","B"
"Qual método de alinhamento é mais preciso quando o espaçamento axial é inferior a 1,5 vezes o diâmetro do acoplamento?","Método reverso","Método a laser com apenas um relógio","Método Rim and Face","Método de alinhamento por régua e nível","C"
"No método Rim and Face, o que representa o desalinhamento radial (Dr) nas fórmulas de correção?","A correção do ângulo entre os eixos","O deslocamento paralelo entre as linhas de centro dos eixos","A folga axial entre os flanges","A deflexão da haste do relógio comparador","B"
"Qual é a regra de validade das leituras dos relógios comparadores no alinhamento (considerando as posições S, I, D, E)?","S + D = I + E","S + I = D + E","S + E = I + D","S - I = D - E","B"
"O fenômeno chamado ""Sag"" (deflexão da haste) em dispositivos de alinhamento com relógios comparadores ocorre devido:","Ao peso do relógio e da própria haste, alterando a medição real","À dilatação térmica da haste durante a medição","Ao desgaste do mancal do relógio comparador","À excentricidade do cubo do acoplamento","A"
"Para minimizar erros por sag, normas internacionais recomendam que a deflexão do dispositivo não ultrapasse:","0,08 mm por 100 mm de comprimento","0,50 mm por 100 mm de comprimento","0,01 mm por 100 mm de comprimento","1,0 mm por 100 mm de comprimento","A"
"O que caracteriza a condição de ""pé manco"" (soft foot) em uma máquina?","Folga excessiva nos parafusos de fixação","Folga entre um ou mais pés do equipamento e sua base devido a defeitos nos pés ou na base","Desgaste dos mancais do motor","Desalinhamento angular do acoplamento","B"
"Qual é o material recomendado para fabricação de calços (shims) de alinhamento, segundo o documento?","Alumínio por ser leve e maleável","Aço carbono por sua alta resistência","Aço inoxidável ou latão em chapas calibradas","Plástico de engenharia para amortecimento","C"
"Segundo a norma API 686 citada, qual é o número máximo de calços permitido sob qualquer pé de apoio?","Três","Cinco","Sete","Dez","B"
"Por que não se deve utilizar alumínio na confecção de calços para alinhamento?","Porque o alumínio é muito pesado","Porque o alumínio se deforma com facilidade","Porque o alumínio é magnético e interfere nos relógios","Porque o alumínio não conduz eletricidade","B"
"Em uma medição de pé manco, qual faixa de leitura é considerada OK (máquina em boas condições)?","0,00 – 0,05 mm","0,05 – 0,10 mm","0,10 – 0,15 mm","> 0,15 mm","A"
"Para corrigir o desalinhamento no plano vertical, a movimentação da máquina móvel é feita principalmente:","Ajustando a posição dos mancais","Trocando ou adicionando calços sob os pés","Aplainando a base de concreto","Substituindo o acoplamento por um modelo mais flexível","B"
"O desalinhamento angular causa vibrações de maior amplitude principalmente na direção:","Radial","Axial","Tangencial","Vertical","B"
"Já o desalinhamento paralelo (radial) causa vibrações de maior amplitude principalmente na direção:","Axial","Radial","Horizontal (apenas)","Vertical (apenas)","B"
