"Qual é o tipo de motor elétrico mais utilizado industrialmente, combinando baixo custo, simplicidade e bom rendimento?","Motor síncrono","Motor de corrente contínua","Motor de indução","Motor universal","C"
"O que produz o torque necessário para iniciar o giro do rotor em um motor elétrico?","Forças mecânicas da inércia","Forças magnéticas entre estator e rotor","Pressão do fluido refrigerante","Reação química das baterias","B"
"Qual componente do motor elétrico atua como envoltório, protegendo as partes internas e abrigando o sistema de ventilação?","Núcleo do estator","Carcaça","Camisa dos mancais","Enrolamentos do rotor","B"
"Qual a principal função do ventilador acoplado ao rotor?","Reduzir o peso do motor","Gerar energia elétrica residual","Circular ar para arrefecimento do motor","Equilibrar dinamicamente o eixo","C"
"De que materiais são feitas as barras do rotor em um motor de indução do tipo gaiola de esquilo?","Ferro e aço carbono","Cobre ou alumínio","Bronze e latão","Plástico condutivo","B"
"Qual informação NÃO é tipicamente encontrada na placa de identificação de um motor elétrico?","Tensão nominal","Corrente nominal","Data de fabricação do equipamento acionado","Potência nominal","C"
"O estator é composto por carcaça, núcleo de chapas e:","Enrolamentos","Rolamentos","Anéis de curto-circuito","Ventilador","A"
"Os mancais em um motor elétrico têm a função principal de:","Gerar torque adicional","Sustentar o eixo e permitir sua rotação","Isolar termicamente o motor","Converter corrente alternada em contínua","B"
"A partir de qual potência é aconselhável utilizar motores de indução trifásicos em vez de monofásicos, segundo o documento?","0,5 kW","1 kW","2 kW","5 kW","C"
"Qual das seguintes é uma característica do motor com rotor em gaiola de esquilo?","Controle preciso de velocidade por escovas","Alta corrente de partida com torque baixo","Velocidade constante independente da carga","Ausência de controle de velocidade","D"
"O que significa o termo 'escorregamento' (slip) em um motor de indução?","Diferença entre a velocidade síncrona e a velocidade do rotor","Perda de torque por atrito nos mancais","Relação entre potência ativa e aparente","Tensão residual nos enrolamentos desligados","A"
"Conforme a tabela de categorias de partida, qual categoria apresenta torque alto, corrente de partida alta e escorregamento alto?","Categoria N","Categoria H","Categoria D","Categoria S","C"
"O regime de serviço S1, conforme a norma, é caracterizado por:","Funcionamento contínuo em carga constante","Tempo limitado de operação com repouso","Regime intermitente periódico com partidas","Funcionamento com frenagem elétrica","A"
"Qual a função do núcleo do estator, formado por lâminas de aço silício?","Isolar eletricamente os enrolamentos","Reforçar o campo magnético produzido pelos enrolamentos","Reduzir o peso total do motor","Lubrificar os mancais","B"
"Por que o rotor gaiola de esquilo não necessita de isolamento elétrico entre as barras e o núcleo de ferro?","Porque o núcleo é feito de material isolante","Porque as tensões induzidas nas barras são muito baixas","Porque o rotor não conduz corrente elétrica","Porque o isolamento aumentaria o escorregamento","B"
"Qual componente conecta as extremidades das barras do rotor em um motor gaiola de esquilo?","Enrolamentos do estator","Anéis de curto-circuito","Terminais da caixa de ligação","Escovas de carvão","B"
"Para potências superiores a 2 kW, o motor trifásico apresenta vantagens sobre o monofásico, EXCETO:","Arranque mais fácil","Menor nível de ruído","Menor preço","Maior consumo de energia em vazio","D"
"O rendimento médio de 80% nos motores elétricos industriais significa que:","80% da energia elétrica é convertida em calor","80% da energia elétrica é transformada em energia mecânica útil","Apenas 20% da energia mecânica é aproveitada","O motor opera com 80% da velocidade nominal","B"
"Qual elemento é responsável por evitar movimentos axiais e radiais do eixo do motor?","Ventilador","Rolamentos (mancais)","Carcaça defletora","Anéis de fechamento","B"
"O campo eletromagnético giratório que faz o rotor se movimentar é criado por:","Ímãs permanentes fixos no eixo","Enrolamentos do estator alimentados por corrente alternada","Baterias internas de corrente contínua","Resistências de aquecimento","B"
"Qual característica marcante do motor de indução desenvolvido por Nikola Tesla?","Uso obrigatório de escovas para partida","Operação sem comutadores ou escovas","Necessidade de ímãs permanentes no rotor","Alimentação exclusiva por corrente contínua","B"
"Qual tipo de carcaça é citado como protegido contra o tempo segundo a norma NEMAII?","Carcaça aberta ventilada","Carcaça totalmente fechada","Carcaça protegida contra o tempo","Carcaça à prova de explosão","C"
"Entre os fatores de seleção de um motor, as condições ambientais como agressividade, altitude e temperatura influenciam:","Apenas o custo de aquisição","Somente a tensão de alimentação","A escolha do tipo de carcaça e proteção","Exclusivamente o regime de serviço","C"
"No contexto da evolução dos motores de indução, a busca atual por sustentabilidade e economia de energia tem impulsionado:","O retorno aos motores com escovas","O desenvolvimento de motores de alta eficiência conforme normas como IEC 60034-30","A substituição total por motores monofásicos","O aumento do escorregamento para reduzir perdas","B"
"Segundo o documento, cerca de 15% da energia elétrica industrial transforma-se em perdas nos motores. Isso significa que:","Os motores são extremamente ineficientes","As perdas correspondem a 15% do consumo industrial total em motores","A eficiência média é de 15%","Apenas motores antigos têm perdas","B"
"Qual regime de serviço é caracterizado por 'variações não periódicas de carga e velocidade'?","S3","S6","S8","S9","D"
"Em um motor de indução trifásico com 6 terminais de ligação, a principal finalidade é:","Permitir diferentes tensões e ligações estrela-triângulo","Aumentar a potência nominal do motor","Reduzir o número de rolamentos","Possibilitar a inversão do sentido de rotação apenas","A"
"Qual a diferença básica entre rotores de gaiola simples e dupla mencionada no texto?","A tensão de alimentação necessária","A capacidade de arranque (baixa ou média)","O material das barras (cobre ou alumínio)","O diâmetro do eixo","B"
"O que são as 'camisas dos mancais' em um motor elétrico?","Placas metálicas que abrigam os mancais e posicionam o rotor","Outro nome para os enrolamentos do estator","Isolamento térmico do eixo","Filtros de ventilação","A"
"Qual a principal razão para o motor de indução trifásico ser o mais utilizado em sistemas industriais?","Necessidade de pouca manutenção devido à ausência de escovas","Baixo custo de energia elétrica","Facilidade de transporte e limpeza combinada com construção simples e versatilidade","Alta capacidade de controle de velocidade","C"
