"Qual é a principal diferença entre compressores dinâmicos e compressores de deslocamento positivo?","Compressores dinâmicos aumentam a pressão reduzindo o volume do gás, enquanto os de deslocamento positivo usam energia cinética","Compressores dinâmicos utilizam energia cinética para acelerar o gás e converter em pressão, enquanto os de deslocamento positivo reduzem o volume do gás","Compressores dinâmicos operam apenas com líquidos, enquanto os de deslocamento positivo operam com gases","Compressores dinâmicos não possuem partes móveis, ao contrário dos de deslocamento positivo","B"
"Qual é a função principal do difusor em um compressor centrífugo?","Acelerar o gás para aumentar sua velocidade","Reduzir a temperatura do gás antes da descarga","Desacelerar o escoamento, convertendo energia cinética em pressão","Direcionar o gás axialmente para o eixo do rotor","C"
"Em um compressor centrífugo, o rotor ou impelidor tem a função de:","Converter energia cinética em energia de pressão desacelerando o gás","Acelerar o gás, convertendo a energia cinética do movimento rotacional em energia de pressão","Reduzir o volume do gás por meio de movimento alternativo","Vedar o eixo para evitar vazamentos de gás","B"
"Qual dos seguintes componentes é responsável por suportar as forças radiais e axiais do eixo em um compressor centrífugo?","Difusor","Voluta","Mancais","Carcaça","C"
"O fenômeno aerodinâmico conhecido como surge em compressores centrífugos e axiais ocorre quando:","A vazão de entrada é excessiva, causando sobrepressão","A pressão de descarga não pode ser sustentada em relação à vazão de entrada","A temperatura de sucção atinge valores abaixo do ponto de orvalho","O rotor atinge velocidade supersônica","B"
"Qual é uma das principais causas do surge em compressores dinâmicos?","Aumento da rotação do compressor","Aumento do peso molecular do gás","Queda da pressão na sucção do compressor","Redução da temperatura do gás na admissão","C"
"Os compressores axiais são amplamente utilizados em:","Sistemas de refrigeração doméstica","Motores a jato de aeronaves e turbinas a gás terrestres","Compressores de ar para oficinas mecânicas","Bombas de vácuo de pequeno porte","B"
"Em um compressor axial, qual é a função das pás fixas (estator)?","Acelerar o fluxo de gás para aumentar a velocidade","Converter a energia cinética do gás em pressão","Realizar a compressão primária do gás","Lubrificar os rolamentos do eixo","B"
"Qual dos seguintes procedimentos deve ser realizado ANTES de emitir a Permissão de Trabalho para manutenção de um compressor parado?","Instalar cadeado (Loto) e drenar/despressurizar","Abrir as válvulas de sucção e descarga","Ligar o motor para verificar pressão residual","Remover os filtros de sucção","A"
"Nos compressores alternativos de pistão, a função dos anéis de pistão é:","Conectar o pistão ao virabrequim","Converter movimento rotacional em alternativo","Proporcionar vedação entre o pistão e a parede do cilindro, evitando vazamento de gás","Controlar a abertura e fechamento das válvulas de admissão","C"
"Um compressor alternativo hermético se caracteriza por:","Carcaça soldada que impossibilita reparos internos, com motor e parte mecânica no mesmo invólucro","Bloco aparafusado que permite reparos internos, com motor separado","Carcaça aberta com acionamento externo por correias","Utilização exclusiva em aplicações de baixa pressão","A"
"Qual é a principal vantagem do compressor de parafuso (rotativo de parafuso) em relação a outros tipos?","Menor custo inicial de aquisição","Operação contínua com baixa manutenção devido à estrutura simples","Capacidade de gerar altíssimas pressões com um único estágio","Isenção total de lubrificação","B"
"Como funciona o princípio de compressão em um compressor de lóbulos (roots)?","Dois rotores helicoidais reduzem o volume do gás por compressão interna","Um pistão alternativo comprime o gás em câmara fechada","Dois rotores giram em sentidos opostos com folga, conduzindo o gás da sucção à descarga, onde a pressão aumenta devido à resistência do sistema","Uma espiral fixa e outra móvel criam câmaras progressivamente menores","C"
"Qual das alternativas descreve corretamente o compressor scroll?","Utiliza palhetas deslizantes em um rotor descentralizado para comprimir o gás","Possui dois rotores em forma de oito que giram em sentidos opostos sem contato","Utiliza dois elementos em forma de espiral, sendo um fixo e outro giratório, criando câmaras de compressão progressivamente menores","É um compressor dinâmico de fluxo axial com pás de geometria variável","C"
"Em relação à lubrificação de compressores, a lubrificação forçada caracteriza-se por:","Uso de uma concha para espirrar óleo nas partes móveis","Imersão completa das peças em óleo dentro do cárter","Utilização de bomba de óleo interna que força o óleo sob pressão para as partes móveis","Aplicação manual de graxa nos mancais a cada intervalo de operação","C"
"O que significa a sigla LOTO no contexto de manutenção de compressores?","Liberação Operacional para Trabalho Organizado","Lockout-Tagout (bloqueio e etiquetagem de fontes de energia)","Lubrificação e Óleo para Temperatura Otimizada","Linha de Operação e Trava de Oxigênio","B"
"Qual é a função das válvulas de admissão (sucção) em um compressor alternativo de pistão?","Permitir a saída do gás comprimido do cilindro","Controlar a temperatura do gás durante a compressão","Permitir a entrada de gás no cilindro durante o curso de admissão","Lubrificar as paredes do cilindro","C"
"Um compressor alternativo de dupla ação apresenta a seguinte característica operacional:","A compressão ocorre apenas em um lado do pistão a cada curso","O cilindro é dividido em duas câmaras, com compressão em ambos os lados do pistão, resultando em duas sucções e duas descargas por revolução","Utiliza dois pistões em cilindros separados operando em oposição de fase","Possui dois estágios de compressão em série","B"
"Qual dos seguintes danos mecânicos pode ser causado pelo surge em um compressor centrífugo?","Aumento da eficiência volumétrica devido à maior turbulência","Desgaste prematuro dos rolamentos devido a reversões de fluxo e pressão","Redução da velocidade de rotação por atrito nas pás","Eliminação da necessidade de sistema de selagem","B"
"Em compressores centrífugos, o rotor do tipo fechado é caracterizado por:","Pás retas na direção radial, fácil construção e baixa eficiência","Pás radiais suportadas por fechamento de um lado, proporcionando maior rigidez","Palhetas radiais curvadas, fechado nas duas laterais, com elevada rigidez, usado em múltiplos estágios","Entrada de gás por ambos os lados do rotor, reduzindo a velocidade de admissão","C"
"Qual é a função do sistema de selagem em compressores centrífugos?","Aumentar a velocidade do gás na entrada do rotor","Evitar vazamentos de gás ao longo do eixo e garantir a eficiência do equipamento","Reduzir a temperatura do gás entre estágios","Fornecer lubrificação aos mancais","B"
"O que é um skid industrial no contexto de compressores centrífugos?","Um dispositivo de segurança que para o compressor em caso de surge","Uma estrutura modular e compacta que integra vários equipamentos, pré-montada e testada antes da instalação","Um tipo de rotor com pás de geometria variável","Um sistema de lubrificação de emergência acionado por gravidade","B"
"Qual das seguintes variáveis NÃO é considerada uma característica do processo que influencia o comportamento de um compressor?","Pressão de sucção (P1)","Cor do equipamento","Natureza molecular do gás","Pressão de descarga (P2)","B"
"Em compressores alternativos, o virabrequim tem a função de:","Conectar o pistão ao cilindro","Converter o movimento rotacional do motor em movimento alternativo do pistão","Vedar a câmara de compressão","Controlar a abertura das válvulas de descarga","B"
"Qual dos seguintes é um exemplo de compressor volumétrico rotativo?","Compressor centrífugo","Compressor axial","Compressor de palheta","Compressor de fluxo misto","C"
